BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,_YEAR
202209,전국,역사관광,1164334,0,2022
202209,전국,자연관광,2144421,0,2022
202209,전국,체험관광,201450,0,2022
202209,전국,레저스포츠,2271721,0,2022
202210,전국,기타관광,4654618,0,2022
202210,전국,문화관광,5967202,0,2022
202210,전국,쇼핑,5900749,0,2022
202210,전국,숙박,5002762,0,2022
202210,전국,음식,17492923,0,2022
202210,전국,역사관광,1676035,0,2022
202210,전국,자연관광,2595720,0,2022
202210,전국,체험관광,275902,0,2022
202210,전국,레저스포츠,2647167,0,2022
202211,전국,기타관광,3809773,0,2022
202211,전국,문화관광,4171023,0,2022
202211,전국,쇼핑,5136208,0,2022
202211,전국,숙박,3886200,0,2022
202211,전국,음식,14694539,0,2022
202211,전국,역사관광,1211107,0,2022
202211,전국,자연관광,1674960,0,2022
202211,전국,체험관광,183858,0,2022
202211,전국,레저스포츠,2124138,0,2022
202212,전국,기타관광,3378060,0,2022
202212,전국,문화관광,3699439,0,2022
202212,전국,쇼핑,5686118,0,2022
202212,전국,숙박,3969332,0,2022
202212,전국,음식,15611861,0,2022
202212,전국,역사관광,681822,0,2022
202212,전국,자연관광,1192880,0,2022
202212,전국,체험관광,205782,0,2022
202212,전국,레저스포츠,1137398,0,2022
202301,전국,전체,33286877,0,2023
202302,전국,전체,34007232,0,2023
202303,전국,전체,37267392,0,2023
202304,전국,전체,38289810,0,2023
202305,전국,전체,40399065,0,2023
202306,전국,전체,39293984,0,2023
202307,전국,전체,40646135,0,2023
202308,전국,전체,44659707,0,2023
202309,전국,전체,42506622,0,2023
202310,전국,전체,45660728,0,2023
202311,전국,전체,36889491,0,2023
202312,전국,전체,38842726,0,2023
202301,전국,기타관광,3532474,0,2023
202301,전국,문화관광,3447840,0,2023
202301,전국,쇼핑,5133033,0,2023
202301,전국,숙박,3386433,0,2023
202301,전국,음식,14348665,0,2023
202301,전국,역사관광,837043,0,2023
202301,전국,자연관광,1321857,0,2023
202301,전국,체험관광,233176,0,2023
202301,전국,레저스포츠,1046356,0,2023
202302,전국,기타관광,3371765,0,2023
202302,전국,문화관광,3747629,0,2023
202302,전국,쇼핑,4814745,0,2023
202302,전국,숙박,3563237,0,2023
202302,전국,음식,14630252,0,2023
202302,전국,역사관광,864457,0,2023
202302,전국,자연관광,1384835,0,2023
202302,전국,체험관광,227231,0,2023
202302,전국,레저스포츠,1403081,0,2023
202303,전국,기타관광,3697372,0,2023
202303,전국,문화관광,4278111,0,2023
202303,전국,쇼핑,5192697,0,2023
202303,전국,숙박,3322637,0,2023
202303,전국,음식,15792471,0,2023
202303,전국,역사관광,1104262,0,2023
202303,전국,자연관광,1640938,0,2023
202303,전국,체험관광,221858,0,2023
202303,전국,레저스포츠,2017046,0,2023
202304,전국,기타관광,3770556,0,2023
