region,visits,night,weekend,야간비중,주말비중
용인시 처인구,51470049.0,9372509.0,17113757.0,18.20963683170381,33.24993337387341
거제시,23656192.0,7082561.0,8830747.0,29.939565083002368,37.329537230675164
창원시 의창구,34834677.0,6010301.0,11324301.0,17.25378708118924,32.5087010280015
홍천군,22264903.0,5378259.0,9083870.0,24.15577108061059,40.79905490717835
과천시,21756405.0,3003711.0,7829708.0,13.806099858869148,35.98805960819354
울주군,38923070.0,6569067.0,13337925.0,16.877052606590386,34.2674023400518
나주시,17028929.0,3311572.0,5634822.0,19.44674265774436,33.08970282276707
무안군,17277370.0,3438197.0,5901402.0,19.900002141529644,34.1568305824324
금천구,30180467.0,5885584.0,8196286.0,19.50130195135814,27.15758506984004
금정구,30955787.0,5603560.0,9994549.0,18.101817278946903,32.28652852534487
해운대구,72850909.0,16925176.0,26575319.0,23.23262157236775,36.47904928681123
천안시 서북구,43872053.0,11354902.0,14106043.0,25.88185695344597,32.152684990602104
옥천군,12312339.0,2087042.0,4834060.0,16.95081657514466,39.26191440960162
부천시 오정구,21259019.0,3872457.0,6083027.0,18.215595931308027,28.613865014185276
안산시 상록구,29790111.0,5749605.0,9500651.0,19.300381257391088,31.891962403228373
용인시 기흥구,62170894.0,11474915.0,20761544.0,18.45705323137222,33.39431470938797
거창군,6971355.0,1605718.0,2820756.0,23.0330832384809,40.46209094214826
경산시,31554054.0,7518283.0,10385031.0,23.82667849906069,32.91187560241863
상주시,14343002.0,2947678.0,5187973.0,20.5513322803692,36.170761183746606
삼척시,12247886.0,3150446.0,4624300.0,25.722365475968665,37.75590334527934
화천군,4317272.0,904674.0,1529186.0,20.95476032086929,35.420191268930935
중구,440338123.0,76641747.0,138679662.0,17.40520363711502,31.4939031522374
진도군,5515624.0,1593512.0,1879611.0,28.89087435981858,34.077939322912506
순창군,4986632.0,924737.0,2090454.0,18.544320094203865,41.92116041448416
의성군,7121964.0,1323393.0,2617548.0,18.58185466817861,36.75317651142297
청송군,5006931.0,1091789.0,1959661.0,21.805553142234235,39.1389655659325
수성구,52967572.0,11469745.0,17957424.0,21.654277451116695,33.90267539542873
연제구,32669663.0,7040055.0,10527497.0,21.54921218501703,32.224075895732376
금산군,10288171.0,1975349.0,4150668.0,19.200196030956327,40.34408059508342
서산시,18388255.0,4358701.0,6564127.0,23.703722838300862,35.69738944777522
단양군,9427933.0,2079801.0,4110509.0,22.059989183206966,43.599259774120156
영동군,6800198.0,1310727.0,2591993.0,19.27483582095698,38.11643425676723
오산시,31783619.0,6325882.0,10242825.0,19.90296322140031,32.22674233541498
