시군,방문_2024,방문_2026,관광소비_방문당_2024,관광소비_방문당_2026,체험문화_2024,체험문화_2026,방문_변화율,관광소비_변화율,체험문화_변화율
기장군,26792665.0,28319941.0,22181.2845045463,24220.553107790725,340.7294496460132,282.5682440510734,0.0570035119686676,0.09193645222964686,-0.17069615102352909
김제시,8006546.0,8642294.0,14930.361481717584,16824.62202743855,71.44466540253437,80.54204126820957,0.07940352806316242,0.1268730531434561,0.1273345716495229
김천시,9678449.0,10343904.0,17726.51878415643,17712.56568119735,123.72044322390911,117.85743564518773,0.0687563678849783,-0.0007871315924450339,-0.04738915757123918
김포시,33161026.0,35067268.0,25880.173822124805,26132.271381962233,377.6466988687262,350.5411371082572,0.05748440955958367,0.009740953116084139,-0.07177492042606515
김해시,29261007.0,31838927.0,19817.431163595975,20756.908327972233,205.85600488732325,190.5661268044617,0.08810086406117201,0.04740660666969032,-0.07427462750591396
나주시,10660109.0,11097688.0,15343.148461239936,16283.412905462832,340.1743828322956,278.4706147803038,0.04104826695486885,0.061282366301688596,-0.18138863819857798
남양주시,46604629.0,48290063.0,18442.64836868458,19264.8772274329,308.0901684680292,298.7318736776135,0.03616451919400543,0.044583014451680114,-0.030375181515689298
남원시,7041842.0,7114482.0,15593.606758004511,15959.691654290502,128.14388621613494,114.5792483556779,0.010315482795552722,0.02347660178733646,-0.10585474079955814
남해군,5683426.0,6132203.0,11352.579764388593,13021.563865384103,242.12297300958963,116.03170997437626,0.07896240753376582,0.14701364232919767,-0.5207736443506307
논산시,11377260.0,11667922.0,15909.92172104707,16158.081618989225,142.75036344427394,137.97281126836467,0.0255476274603903,0.015597807600389757,-0.03346788099614406
단양군,6337614.0,6138506.0,14661.731213040113,15172.779826231334,265.0731016436154,239.43089735515449,-0.031416870765559435,0.034855952940720636,-0.09673634981996881
달성군,20141519.0,20827238.0,12053.50773196401,12587.065025136795,141.36242653793886,140.02548009486424,0.03404504893598137,0.04426572787254912,-0.009457579894582624
담양군,10510646.0,10594213.0,10730.528361434683,11491.623115374403,146.18235644126918,164.56144500776037,0.007950700651510934,0.07092798493269736,0.12572713297226978
당진시,15600689.0,14917529.0,21623.75950190405,24638.789440261855,693.3328393380574,747.0404113174508,-0.043790373617472955,0.13943134810079272,0.07746289939283613
동두천시,6688872.0,6713602.0,12186.972332554727,11799.537565676368,195.25489499574817,230.06457636303134,0.0036971854148202254,-0.03179089574556726,0.17827814953392673
동해시,7855585.0,8882248.0,17031.707886809192,17864.501081257808,239.52818281515636,243.50761203695282,0.13069211268161451,0.04889663444108283,0.01661361588029653
목포시,17976681.0,18195863.0,14860.915760812577,15665.965060299695,537.4907637288552,547.7038379548143,0.012192573256431416,0.0541722537456264,0.019001394842779407
무안군,10315484.0,11200698.0,15428.313979256814,14662.775034198761,195.39596978677878,192.18025519481017,0.08581410237270504,-0.04961909292793176,-0.0164574253782086
무주군,5670009.0,5577895.0,9899.634374478066,10986.952246322313,129.7826864119616,198.541564514929,-0.01624582959215759,0.10983414444551887,0.529800083538956
문경시,6999119.0,8184656.0,19884.7684972923,19456.18545238798,307.4641251277482,266.0306065398472,0.1693837467258379,-0.021553333394989216,-0.1347588716917325
밀양시,10126528.0,10391597.0,9231.136476391513,10537.70888151263,177.68044486718446,148.55310497510632,0.026175704051773607,0.14153971273880028,-0.16393103874683979
보령시,11561860.0,11461609.0,13964.818809430317,14916.078449369543,253.34159036694786,346.82224808052695,-0.008670836699285367,0.06811829447417161,0.36899056952385423
보성군,4667080.0,4790504.0,13041.576531792898,12866.646181696122,157.16765086520908,168.2726911406399,0.0264456576703207,-0.013413282487000688,0.07065728993401299
보은군,4992488.0,5675079.0,10862.806079854374,11096.619271731724,76.14419904464467,125.19173741898571,0.13672361355700802,0.021524198274234907,0.6441401838843117
봉화군,3026524.0,3012862.0,8009.061550478371,9397.491488159763,25.0693534893495,42.73478174572881,-0.004514089430647128,0.17335738137740542,0.7046622986860958
부안군,6820054.0,7143159.0,13681.720555291791,14621.023975526794,110.562467687206,101.48031144203846,0.047375724591036894,0.06865389600957017,-0.08214502113739008
부여군,6462250.0,7488477.0,16762.710820534645,17985.020452089255,51.15524778521413,45.09007639337077,0.1588033579635575,0.07291837487629138,-0.11856401160071073
사천시,9859137.0,10036860.0,18240.431692956492,19928.149241894378,422.22894356777886,504.8392624785042,0.018026222781973633,0.09252618454143247,0.19565290387882706
산청군,5052311.0,5082460.0,15499.808503474944,17668.22936137225,75.62400651899695,123.59625063453524,0.0059673682004135475,0.13989984827303914,0.6343520572860357
삼척시,8262615.0,8192103.0,14997.682452831215,13780.167558928397,190.9181294299686,187.0497722013505,-0.008533860043097752,-0.08118020219003774,-0.020261864287943743
상주시,8940339.0,9297281.0,11762.900377714985,11362.707656141618,66.23730934587604,67.78315079430212,0.0399248842801152,-0.03402160255743891,0.023337926369473294
서귀포시,29438105.0,29571424.0,24095.647053368415,23471.39278784816,988.8090282985268,1065.7367396308002,0.004528790151404172,-0.025907346008912868,0.07779835047081374
