FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,TOTAL_AVG,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,PRE_TOTAL,PRE_TOTAL_AVG,TOTAL_AVG_VAR
KCTF0025,밀양아리랑대축제,2024,4,111847.0,44783.0,232.0,156862.0,39215.5,142006,14856.0,71.3,28.55,0.15,10.46,▲,N,142006.0,35501.5,10.5
KCTF0025,밀양아리랑대축제,2025,4,110141.0,44673.0,457.0,155271.0,38817.75,156862,-1591.0,70.93,28.77,0.29,-1.01,▼,N,156862.0,39215.5,-1.0
KCTF0026,보령머드축제,2018,10,122151.0,338694.0,0.0,460845.0,46084.5,N/A,460845.0,26.51,73.49,0.0,0.0,,N,,,
KCTF0026,보령머드축제,2019,10,117284.0,325715.0,0.0,442999.0,44299.9,460845,-17846.0,26.48,73.52,0.0,-3.87,▼,N,460845.0,46084.5,-3.9
KCTF0026,보령머드축제,2022,31,449549.0,1213604.0,1979.0,1665132.0,53713.9355,442999,1222133.0,27.0,72.88,0.12,275.88,▲,N,442999.0,44299.9,21.3
KCTF0026,보령머드축제,2023,17,225506.0,614824.0,7289.0,847619.0,49859.9412,1665132,-817513.0,26.6,72.54,0.86,-49.1,▼,N,1665132.0,53713.9355,-7.2
KCTF0026,보령머드축제,2024,17,233698.0,615419.0,5276.0,854393.0,50258.4118,847619,6774.0,27.35,72.03,0.62,0.8,▲,N,847619.0,49859.9412,0.8
KCTF0026,보령머드축제,2025,17,245369.0,660130.0,6759.0,912258.0,53662.2353,854393,57865.0,26.9,72.36,0.74,6.77,▲,N,854393.0,50258.4118,6.8
KCTF0027,보성다향대축제,2018,5,35116.0,44564.0,0.0,79680.0,15936.0,N/A,79680.0,44.07,55.93,0.0,0.0,,N,,,
KCTF0027,보성다향대축제,2019,5,39497.0,60576.0,0.0,100073.0,20014.6,79680,20393.0,39.47,60.53,0.0,25.59,▲,N,79680.0,15936.0,25.6
KCTF0027,보성다향대축제,2023,9,84619.0,95324.0,1039.0,180982.0,20109.1111,100073,80909.0,46.76,52.67,0.57,80.85,▲,N,100073.0,20014.6,0.5
KCTF0027,보성다향대축제,2024,5,45718.0,51377.0,430.0,97525.0,19505.0,180982,-83457.0,46.88,52.68,0.44,-46.11,▼,N,180982.0,20109.1111,-3.0
KCTF0027,보성다향대축제,2025,5,45725.0,92331.0,502.0,138558.0,27711.6,97525,41033.0,33.0,66.64,0.36,42.07,▲,N,97525.0,19505.0,42.1
KCTF0028,봉화은어축제,2018,8,57928.0,97542.0,0.0,155470.0,19433.75,N/A,155470.0,37.26,62.74,0.0,0.0,,N,,,
KCTF0028,봉화은어축제,2019,9,70603.0,131580.0,0.0,202183.0,22464.7778,155470,46713.0,34.92,65.08,0.0,30.05,▲,N,155470.0,19433.75,15.6
KCTF0028,봉화은어축제,2022,9,70602.0,113172.0,113.0,183887.0,20431.8889,202183,-18296.0,38.39,61.54,0.06,-9.05,▼,N,202183.0,22464.7778,-9.0
KCTF0029,부안마실축제,2018,3,56458.0,61192.0,0.0,117650.0,39216.6667,N/A,117650.0,47.99,52.01,0.0,0.0,,N,,,
