시군,연월,방문
강남구,202208,18063175.0
강남구,202209,17879101.0
강남구,202210,18870068.0
강남구,202211,18562817.0
강남구,202212,18897346.0
강남구,202301,17797676.0
강남구,202302,17822727.0
강남구,202303,19294211.0
강남구,202304,17398867.0
강남구,202305,18667015.0
강남구,202306,18311327.0
강남구,202307,19379837.0
강남구,202308,18455806.0
강남구,202309,17623381.0
강남구,202310,18183203.0
강남구,202311,18514625.0
강남구,202312,18880216.0
강남구,202401,19184346.0
강남구,202402,16362575.0
강남구,202403,19457728.0
강남구,202404,17755423.0
강남구,202405,18441685.0
강남구,202406,17919468.0
강남구,202407,19142856.0
강남구,202408,17949898.0
강남구,202409,16899254.0
강남구,202410,19155196.0
강남구,202411,18454622.0
강남구,202412,18999102.0
강남구,202501,17327714.0
강남구,202502,17788461.0
강남구,202503,19186618.0
강남구,202504,18179979.0
강남구,202505,19453768.0
강남구,202506,18896430.0
강남구,202507,20744605.0
강남구,202508,19150645.0
강남구,202509,19706330.0
강남구,202510,17875780.0
강남구,202511,20540975.0
강남구,202512,20704791.0
강남구,202601,19514086.0
강남구,202602,16491571.0
강남구,202603,20391292.0
강남구,202604,18120587.0
강남구,202605,18520122.0
강남구,202606,19054984.0
강남구,202607,19030131.0
강남구,202608,18558927.0
강동구,201901,3913513.0
강동구,201902,3611277.0
강동구,201903,4558790.0
강동구,201904,3731651.0
강동구,201905,4163908.0
강동구,201906,4143481.0
강동구,201907,4497273.0
강동구,201908,4891366.0
강동구,201909,4741505.0
강동구,201910,4628102.0
강동구,201911,5039717.0
강동구,201912,4752908.0
강동구,202001,4681073.0
강동구,202002,3912231.0
강동구,202003,4000452.0
강동구,202004,4222589.0
강동구,202005,4634769.0
강동구,202006,3997543.0
강동구,202007,4224306.0
강동구,202008,3654524.0
강동구,202009,3792882.0
강동구,202010,4234162.0
강동구,202011,3838318.0
강동구,202012,3322834.0
강동구,202101,3428017.0
강동구,202102,3650173.0
강동구,202103,4460777.0
강동구,202104,3924711.0
강동구,202105,4158765.0
강동구,202106,3958671.0
강동구,202107,3767389.0
강동구,202108,3721663.0
강동구,202109,4129750.0
강동구,202110,4170798.0
강동구,202111,4081667.0
강동구,202112,3978294.0
강동구,202201,3847755.0
강동구,202202,3304446.0
강동구,202203,4031014.0
강동구,202204,4360222.0
강동구,202205,4560285.0
강동구,202206,4147955.0
강동구,202207,4317294.0
강동구,202208,4101256.0
강동구,202209,4299101.0
강동구,202210,4364469.0
강동구,202211,4122262.0
강동구,202212,4097062.0
강동구,202301,3994413.0
강동구,202302,3887949.0
강동구,202303,4483667.0
강동구,202304,3976918.0
강동구,202305,4395248.0
강동구,202306,4131079.0
강동구,202307,4213103.0
강동구,202308,4219341.0
강동구,202309,4213752.0
강동구,202310,4264657.0
강동구,202311,4012435.0
강동구,202312,4217568.0
강동구,202401,4039722.0
강동구,202402,3975718.0
강동구,202403,4694703.0
강동구,202404,4154447.0
강동구,202405,4404392.0
강동구,202406,4198510.0
강동구,202407,4272783.0
강동구,202408,4352213.0
강동구,202409,4326581.0
강동구,202410,4605044.0
강동구,202411,4212901.0
강동구,202412,4594315.0
강동구,202501,4399012.0
강동구,202502,4237477.0
강동구,202503,5013295.0
강동구,202504,4500687.0
강동구,202505,5405721.0
강동구,202506,4822151.0
강동구,202507,4987171.0
강동구,202508,4880376.0
강동구,202509,4733936.0
강동구,202510,4917713.0
강동구,202511,4874974.0
강동구,202512,4941536.0
강동구,202601,4645133.0
강동구,202602,4444564.0
강동구,202603,5239792.0
강동구,202604,4506969.0
강동구,202605,4987387.0
강동구,202606,4716371.0
강동구,202607,4833869.0
강동구,202608,4871129.0
강릉시,201901,2529722.0
강릉시,201902,2541596.0
강릉시,201903,2735350.0
강릉시,201904,2015462.0
강릉시,201905,2294427.0
강릉시,201906,2495856.0
강릉시,201907,2886280.0
강릉시,201908,4343024.0
강릉시,201909,2752343.0
강릉시,201910,2476660.0
강릉시,201911,2429408.0
강릉시,201912,2637785.0
강릉시,202001,3223308.0
강릉시,202002,1931524.0
강릉시,202003,1956155.0
강릉시,202004,2138132.0
강릉시,202005,2773554.0
강릉시,202006,2703952.0
강릉시,202007,3309239.0
강릉시,202008,3731388.0
강릉시,202009,2226340.0
강릉시,202010,2949044.0
강릉시,202011,2302359.0
강릉시,202012,1968619.0
강릉시,202101,1894908.0
강릉시,202102,2386268.0
강릉시,202103,2161616.0
강릉시,202104,2224714.0
강릉시,202105,2593092.0
강릉시,202106,2628991.0
