시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
홍성군,202301,165520000.0,150232000.0,14998663000.0,1036117.0
홍성군,202302,119905000.0,109754000.0,14858346000.0,948370.0
홍성군,202303,165915000.0,146620000.0,15740584000.0,1145383.0
홍성군,202304,198787000.0,172776000.0,15331965000.0,1045892.0
홍성군,202305,201393000.0,177554000.0,15225358000.0,1056346.0
홍성군,202306,250158000.0,223729000.0,14054241000.0,1052684.0
홍성군,202307,182367000.0,167322000.0,14314033000.0,916130.0
홍성군,202308,193898000.0,177085000.0,15701655000.0,1052805.0
홍성군,202309,198204000.0,160553000.0,21335468000.0,1204773.0
홍성군,202310,178576000.0,151734000.0,18990476000.0,1202717.0
홍성군,202311,157627000.0,133589000.0,15840587000.0,1075169.0
홍성군,202312,182685000.0,170258000.0,15206492000.0,921521.0
홍성군,202401,144848000.0,129236000.0,14439290000.0,942172.0
홍성군,202402,178627000.0,161301000.0,16362349000.0,1049197.0
홍성군,202403,183700000.0,164743000.0,17779490000.0,1158592.0
홍성군,202404,186737000.0,159948000.0,15611042000.0,1027285.0
홍성군,202405,187886000.0,163454000.0,16735409000.0,996023.0
홍성군,202406,184222000.0,165234000.0,15194442000.0,930010.0
홍성군,202407,170142000.0,157917000.0,13472598000.0,912503.0
홍성군,202408,193119000.0,180020000.0,15656080000.0,976269.0
홍성군,202501,177922000.0,160110000.0,14160325000.0,989504.0
홍성군,202502,130923000.0,120158000.0,12891137000.0,944239.0
홍성군,202503,169857000.0,152132000.0,15209100000.0,1091386.0
홍성군,202504,158156000.0,129478000.0,14470296000.0,1045253.0
홍성군,202505,208523000.0,172336000.0,17008946000.0,1214539.0
홍성군,202506,161882000.0,135125000.0,14029580000.0,974689.0
홍성군,202507,195516000.0,168779000.0,14436635000.0,947963.0
홍성군,202508,204915000.0,182076000.0,16410014000.0,1171378.0
홍성군,202509,166222000.0,127983000.0,17280298000.0,1196575.0
홍성군,202510,217335000.0,181734000.0,20860039000.0,1397616.0
홍성군,202511,173937000.0,140483000.0,16953356000.0,1148326.0
홍성군,202512,172762000.0,149437000.0,14923552000.0,1047784.0
홍성군,202601,169331000.0,154161000.0,16756934000.0,1072207.0
홍성군,202602,187125000.0,157583000.0,18501194000.0,1161625.0
홍성군,202603,184053000.0,149372000.0,17640068000.0,1176334.0
홍성군,202604,163849000.0,130414000.0,16930153000.0,1046395.0
홍성군,202605,211823000.0,180880000.0,19631837000.0,1171413.0
홍성군,202606,162537000.0,148462000.0,16555691000.0,1052439.0
홍성군,202607,250384000.0,249950000.0,15686063000.0,1052958.0
홍성군,202608,154441000.0,154270000.0,16863335000.0,1112216.0
홍천군,201901,9211069000.0,9210729000.0,40746198000.0,1329028.0
홍천군,201902,5668426000.0,5668426000.0,32747445000.0,1248546.0
홍천군,201903,821261000.0,803382000.0,22290401000.0,993809.0
홍천군,201904,637349000.0,632190000.0,22042847000.0,916928.0
홍천군,201905,1690672000.0,1688723000.0,28842375000.0,1200949.0
홍천군,201906,3962608000.0,3949068000.0,33692877000.0,1330471.0
홍천군,201907,7240362000.0,7238598000.0,40632990000.0,1569371.0
홍천군,201908,11221213000.0,11214852000.0,55984846000.0,2118048.0
홍천군,201909,2177382000.0,2175688000.0,28176200000.0,1221113.0
홍천군,201910,1233335000.0,1228544000.0,30852757000.0,1263015.0
홍천군,201911,854641000.0,851815000.0,25129021000.0,1135851.0
홍천군,201912,5074115000.0,5073129000.0,32580981000.0,1248901.0
홍천군,202001,8066547000.0,8066547000.0,39263107000.0,1505148.0
홍천군,202002,2779947000.0,2779660000.0,22460912000.0,881266.0
홍천군,202003,80973000.0,80973000.0,16287878000.0,869621.0
