SGG_CD,SGG_NM,부울경_2019,부울경_2022,부울경_2023,부울경_2025,수도권_2019,수도권_2022,수도권_2023,수도권_2025,d수도권_2022,d부울경_2022,d숙박_2022,d수도권_2023,d부울경_2023,d숙박_2023,d수도권_2025,d부울경_2025,d숙박_2025,ktx
41287,경기도 고양시 일산서구,0.15,0.24,0.26,0.42,98.32,97.86,97.64,96.76,-0.45999999999999375,0.09,-0.15833333333333233,-0.6799999999999926,0.11000000000000001,-0.27499999999999947,-1.559999999999988,0.27,-0.5416666666666661,
41290,경기도 과천시,0.09,0.03,0.04,0.19,98.46,99.32,98.95,98.75,0.8599999999999994,-0.06,0.35833333333333295,0.4900000000000091,-0.049999999999999996,0.5,0.29000000000000625,0.1,-0.07500000000000018,
41310,경기도 구리시,0.27,0.27,0.29,0.41,97.21,97.25,97.03,96.1,0.04000000000000625,0.0,-0.7000000000000002,-0.1799999999999926,0.019999999999999962,-0.30833333333333357,-1.1099999999999994,0.13999999999999996,-0.9083333333333337,
41360,경기도 남양주시,0.23,0.24,0.28,0.37,95.86,95.63,95.27,94.42,-0.23000000000000398,0.009999999999999981,-1.1916666666666655,-0.5900000000000034,0.05000000000000002,-0.6666666666666661,-1.4399999999999977,0.13999999999999999,-1.8250000000000002,
41370,경기도 오산시,0.89,0.99,1.12,1.46,86.97,87.02,85.9,85.16,0.04999999999999716,0.09999999999999998,-0.27500000000000036,-1.0699999999999932,0.2300000000000001,-0.3000000000000007,-1.8100000000000023,0.57,-1.5499999999999998,
41390,경기도 시흥시,0.5,0.61,0.6,0.62,94.26,94.45,94.43,93.87,0.18999999999999773,0.10999999999999999,-0.1416666666666675,0.1700000000000017,0.09999999999999998,0.3416666666666659,-0.39000000000000057,0.12,-0.9666666666666677,
41410,경기도 군포시,0.34,0.39,0.56,0.36,96.08,95.27,94.75,95.26,-0.8100000000000023,0.04999999999999999,-1.2250000000000005,-1.3299999999999983,0.22000000000000003,-1.4416666666666673,-0.8199999999999932,0.019999999999999962,-2.4333333333333345,
41430,경기도 의왕시,0.24,0.3,0.34,0.46,97.61,97.28,97.11,95.96,-0.3299999999999983,0.06,-1.2999999999999998,-0.5,0.10000000000000003,-1.1833333333333336,-1.6500000000000057,0.22000000000000003,-1.6833333333333331,
41450,경기도 하남시,0.46,0.44,0.55,0.53,94.14,94.69,93.98,93.12,0.5499999999999972,-0.020000000000000018,-0.3166666666666673,-0.1599999999999966,0.09000000000000002,0.16666666666666607,-1.019999999999996,0.07,-0.6083333333333343,
41461,경기도 용인시 처인구,1.22,1.07,1.24,1.29,88.66,90.01,89.14,88.25,1.3500000000000085,-0.1499999999999999,-1.6083333333333343,0.480000000000004,0.020000000000000018,-0.8083333333333336,-0.4099999999999966,0.07000000000000006,-2.033333333333334,
41463,경기도 용인시 기흥구,0.79,0.63,0.71,0.91,92.35,93.63,93.28,92.28,1.2800000000000011,-0.16000000000000003,-1.1166666666666671,0.9300000000000068,-0.08000000000000007,-1.0249999999999995,-0.06999999999999318,0.12,-1.916666666666667,
41465,경기도 용인시 수지구,0.47,0.39,0.51,0.78,95.79,96.04,94.99,94.34,0.25,-0.07999999999999996,-0.8333333333333321,-0.8000000000000114,0.040000000000000036,-0.7583333333333329,-1.4500000000000028,0.31000000000000005,-1.8166666666666664,
