SGG_CD,SGG_NM,MCLS_NM,SRCH_CNT,TOTL_CNT,SPPY_SRCH_CNT,SPPY_SRCH_PER,TOTL_SPPY_SRCH_CNT,TOTL_SPPY_SRCH_PER
44800,충청남도 홍성군,음식,1445063818,2688055119,,,,
44800,충청남도 홍성군,자연관광,110908743,2688055119,,,,
44800,충청남도 홍성군,체험관광,14532972,2688055119,,,,
46770,전라남도 고흥군,기타관광,174002006,2688055119,,,,
46770,전라남도 고흥군,레저스포츠,123956738,2688055119,,,,
46770,전라남도 고흥군,문화관광,304199404,2688055119,,,,
46770,전라남도 고흥군,쇼핑,154088721,2688055119,,,,
46770,전라남도 고흥군,숙박,285331364,2688055119,,,,
46770,전라남도 고흥군,역사관광,75971353,2688055119,,,,
46770,전라남도 고흥군,음식,1445063818,2688055119,,,,
46770,전라남도 고흥군,자연관광,110908743,2688055119,,,,
46770,전라남도 고흥군,체험관광,14532972,2688055119,,,,
46720,전라남도 곡성군,기타관광,174002006,2688055119,,,,
46720,전라남도 곡성군,레저스포츠,123956738,2688055119,,,,
46720,전라남도 곡성군,문화관광,304199404,2688055119,,,,
46720,전라남도 곡성군,쇼핑,154088721,2688055119,,,,
46720,전라남도 곡성군,숙박,285331364,2688055119,,,,
46720,전라남도 곡성군,역사관광,75971353,2688055119,,,,
46720,전라남도 곡성군,음식,1445063818,2688055119,,,,
46720,전라남도 곡성군,자연관광,110908743,2688055119,,,,
46720,전라남도 곡성군,체험관광,14532972,2688055119,,,,
46730,전라남도 구례군,기타관광,174002006,2688055119,,,,
46730,전라남도 구례군,레저스포츠,123956738,2688055119,,,,
46730,전라남도 구례군,문화관광,304199404,2688055119,,,,
46730,전라남도 구례군,쇼핑,154088721,2688055119,,,,
46730,전라남도 구례군,숙박,285331364,2688055119,,,,
46730,전라남도 구례군,역사관광,75971353,2688055119,,,,
46730,전라남도 구례군,음식,1445063818,2688055119,,,,
46730,전라남도 구례군,자연관광,110908743,2688055119,,,,
46730,전라남도 구례군,체험관광,14532972,2688055119,,,,
46230,전라남도 광양시,기타관광,174002006,2688055119,,,,
46230,전라남도 광양시,레저스포츠,123956738,2688055119,,,,
46230,전라남도 광양시,문화관광,304199404,2688055119,,,,
46230,전라남도 광양시,쇼핑,154088721,2688055119,,,,
46230,전라남도 광양시,숙박,285331364,2688055119,,,,
46230,전라남도 광양시,역사관광,75971353,2688055119,,,,
46230,전라남도 광양시,음식,1445063818,2688055119,,,,
46230,전라남도 광양시,자연관광,110908743,2688055119,,,,
46230,전라남도 광양시,체험관광,14532972,2688055119,,,,
46170,전라남도 나주시,기타관광,174002006,2688055119,,,,
46170,전라남도 나주시,레저스포츠,123956738,2688055119,,,,
