SGG_CD,SGG_NM,PERIOD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2018,경기도,김포시,1588,40.0,10.8,45,7.0,2.8
47170,경상북도 안동시,2018,경기도,고양시 덕양구,1588,40.0,10.8,43,7.0,2.7
47170,경상북도 안동시,2018,경기도,안성시,1588,40.0,10.8,40,6.0,2.5
47170,경상북도 안동시,2018,경기도,고양시 일산동구,1588,40.0,10.8,40,6.0,2.5
47170,경상북도 안동시,2018,경기도,양평군,1588,40.0,10.8,38,6.0,2.4
47170,경상북도 안동시,2018,경기도,파주시,1588,40.0,10.8,36,6.0,2.3
47170,경상북도 안동시,2018,경기도,시흥시,1588,40.0,10.8,37,6.0,2.3
47170,경상북도 안동시,2018,경기도,수원시 장안구,1588,40.0,10.8,37,6.0,2.3
47170,경상북도 안동시,2018,경기도,성남시 중원구,1588,40.0,10.8,35,6.0,2.2
47170,경상북도 안동시,2018,경기도,의정부시,1588,40.0,10.8,31,6.0,2.0
47170,경상북도 안동시,2018,경기도,군포시,1588,40.0,10.8,30,5.0,1.9
47170,경상북도 안동시,2018,경기도,안산시 단원구,1588,40.0,10.8,27,5.0,1.7
47170,경상북도 안동시,2018,경기도,수원시 팔달구,1588,40.0,10.8,25,5.0,1.6
47170,경상북도 안동시,2018,경기도,광명시,1588,40.0,10.8,24,5.0,1.5
47170,경상북도 안동시,2018,경기도,성남시 수정구,1588,40.0,10.8,24,5.0,1.5
47170,경상북도 안동시,2018,경기도,의왕시,1588,40.0,10.8,22,5.0,1.4
47170,경상북도 안동시,2018,경기도,오산시,1588,40.0,10.8,20,4.0,1.3
47170,경상북도 안동시,2018,경기도,안산시 상록구,1588,40.0,10.8,20,4.0,1.3
47170,경상북도 안동시,2018,경기도,양주시,1588,40.0,10.8,17,4.0,1.1
47170,경상북도 안동시,2018,경기도,고양시 일산서구,1588,40.0,10.8,13,4.0,0.8
47170,경상북도 안동시,2018,경기도,가평군,1588,40.0,10.8,12,3.0,0.8
47170,경상북도 안동시,2018,경기도,포천시,1588,40.0,10.8,12,3.0,0.8
47170,경상북도 안동시,2018,경기도,안양시 만안구,1588,40.0,10.8,9,3.0,0.6
47170,경상북도 안동시,2018,경기도,과천시,1588,40.0,10.8,10,3.0,0.6
47170,경상북도 안동시,2018,경기도,동두천시,1588,40.0,10.8,2,1.0,0.1
47170,경상북도 안동시,2018,경기도,연천군,1588,40.0,10.8,2,1.0,0.1
47170,경상북도 안동시,2018,서울특별시,강남구,1083,33.0,7.4,125,11.0,11.5
47170,경상북도 안동시,2018,서울특별시,송파구,1083,33.0,7.4,103,10.0,9.5
47170,경상북도 안동시,2018,서울특별시,서초구,1083,33.0,7.4,88,9.0,8.1
47170,경상북도 안동시,2018,서울특별시,강동구,1083,33.0,7.4,64,8.0,5.9
47170,경상북도 안동시,2018,서울특별시,강서구,1083,33.0,7.4,61,8.0,5.6
47170,경상북도 안동시,2018,서울특별시,노원구,1083,33.0,7.4,56,7.0,5.2
47170,경상북도 안동시,2018,서울특별시,영등포구,1083,33.0,7.4,44,7.0,4.1
47170,경상북도 안동시,2018,서울특별시,마포구,1083,33.0,7.4,43,7.0,4.0
47170,경상북도 안동시,2018,서울특별시,중구,1083,33.0,7.4,43,7.0,4.0
47170,경상북도 안동시,2018,서울특별시,양천구,1083,33.0,7.4,42,6.0,3.9
47170,경상북도 안동시,2018,서울특별시,관악구,1083,33.0,7.4,42,6.0,3.9
47170,경상북도 안동시,2018,서울특별시,구로구,1083,33.0,7.4,38,6.0,3.5
47170,경상북도 안동시,2018,서울특별시,광진구,1083,33.0,7.4,34,6.0,3.1
47170,경상북도 안동시,2018,서울특별시,성북구,1083,33.0,7.4,33,6.0,3.0
47170,경상북도 안동시,2018,서울특별시,중랑구,1083,33.0,7.4,33,6.0,3.0
47170,경상북도 안동시,2018,서울특별시,동작구,1083,33.0,7.4,30,5.0,2.8
47170,경상북도 안동시,2018,서울특별시,서대문구,1083,33.0,7.4,30,5.0,2.8
47170,경상북도 안동시,2018,서울특별시,성동구,1083,33.0,7.4,29,5.0,2.7
47170,경상북도 안동시,2018,서울특별시,용산구,1083,33.0,7.4,29,5.0,2.7
47170,경상북도 안동시,2018,서울특별시,금천구,1083,33.0,7.4,27,5.0,2.5
47170,경상북도 안동시,2018,서울특별시,은평구,1083,33.0,7.4,26,5.0,2.4
47170,경상북도 안동시,2018,서울특별시,동대문구,1083,33.0,7.4,19,4.0,1.8
47170,경상북도 안동시,2018,서울특별시,종로구,1083,33.0,7.4,19,4.0,1.8
47170,경상북도 안동시,2018,서울특별시,강북구,1083,33.0,7.4,16,4.0,1.5
47170,경상북도 안동시,2018,서울특별시,도봉구,1083,33.0,7.4,9,3.0,0.8
47170,경상북도 안동시,2018,충청북도,단양군,915,30.0,6.2,235,15.0,25.7
47170,경상북도 안동시,2018,충청북도,제천시,915,30.0,6.2,165,13.0,18.0
47170,경상북도 안동시,2018,충청북도,충주시,915,30.0,6.2,143,12.0,15.6
47170,경상북도 안동시,2018,충청북도,청주시 흥덕구,915,30.0,6.2,75,9.0,8.2
47170,경상북도 안동시,2018,충청북도,청주시 서원구,915,30.0,6.2,56,7.0,6.1
47170,경상북도 안동시,2018,충청북도,청주시 청원구,915,30.0,6.2,42,6.0,4.6
47170,경상북도 안동시,2018,충청북도,청주시 상당구,915,30.0,6.2,40,6.0,4.4
47170,경상북도 안동시,2018,충청북도,음성군,915,30.0,6.2,38,6.0,4.2
47170,경상북도 안동시,2018,충청북도,보은군,915,30.0,6.2,32,6.0,3.5
47170,경상북도 안동시,2018,충청북도,괴산군,915,30.0,6.2,32,6.0,3.5
47170,경상북도 안동시,2018,충청북도,진천군,915,30.0,6.2,22,5.0,2.4
47170,경상북도 안동시,2018,충청북도,증평군,915,30.0,6.2,13,4.0,1.4
47170,경상북도 안동시,2018,충청북도,옥천군,915,30.0,6.2,11,3.0,1.2
47170,경상북도 안동시,2018,충청북도,영동군,915,30.0,6.2,11,3.0,1.2
47170,경상북도 안동시,2018,강원특별자치도,원주시,553,24.0,3.8,229,15.0,41.4
47170,경상북도 안동시,2018,강원특별자치도,춘천시,553,24.0,3.8,55,7.0,9.9
47170,경상북도 안동시,2018,강원특별자치도,태백시,553,24.0,3.8,47,7.0,8.5
47170,경상북도 안동시,2018,강원특별자치도,강릉시,553,24.0,3.8,38,6.0,6.9
47170,경상북도 안동시,2018,강원특별자치도,정선군,553,24.0,3.8,37,6.0,6.7
47170,경상북도 안동시,2018,강원특별자치도,삼척시,553,24.0,3.8,32,6.0,5.8
47170,경상북도 안동시,2018,강원특별자치도,영월군,553,24.0,3.8,22,5.0,4.0
47170,경상북도 안동시,2018,강원특별자치도,평창군,553,24.0,3.8,18,4.0,3.3
47170,경상북도 안동시,2018,강원특별자치도,동해시,553,24.0,3.8,16,4.0,2.9
47170,경상북도 안동시,2018,강원특별자치도,홍천군,553,24.0,3.8,14,4.0,2.5
47170,경상북도 안동시,2018,강원특별자치도,횡성군,553,24.0,3.8,13,4.0,2.4
47170,경상북도 안동시,2018,강원특별자치도,속초시,553,24.0,3.8,9,3.0,1.6
47170,경상북도 안동시,2018,강원특별자치도,양양군,553,24.0,3.8,8,3.0,1.4
47170,경상북도 안동시,2018,강원특별자치도,인제군,553,24.0,3.8,4,2.0,0.7
47170,경상북도 안동시,2018,강원특별자치도,고성군,553,24.0,3.8,4,2.0,0.7
47170,경상북도 안동시,2018,강원특별자치도,화천군,553,24.0,3.8,3,2.0,0.5
47170,경상북도 안동시,2018,강원특별자치도,철원군,553,24.0,3.8,2,1.0,0.4
47170,경상북도 안동시,2018,강원특별자치도,양구군,553,24.0,3.8,2,1.0,0.4
47170,경상북도 안동시,2018,경상남도,김해시,530,23.0,3.6,79,9.0,14.9
47170,경상북도 안동시,2018,경상남도,창원시 의창구,530,23.0,3.6,53,7.0,10.0
47170,경상북도 안동시,2018,경상남도,양산시,530,23.0,3.6,51,7.0,9.6
47170,경상북도 안동시,2018,경상남도,창원시 성산구,530,23.0,3.6,43,7.0,8.1
47170,경상북도 안동시,2018,경상남도,진주시,530,23.0,3.6,36,6.0,6.8
47170,경상북도 안동시,2018,경상남도,창원시 마산회원구,530,23.0,3.6,33,6.0,6.2
47170,경상북도 안동시,2018,경상남도,거제시,530,23.0,3.6,33,6.0,6.2
47170,경상북도 안동시,2018,경상남도,밀양시,530,23.0,3.6,30,5.0,5.7
47170,경상북도 안동시,2018,경상남도,함안군,530,23.0,3.6,25,5.0,4.7
47170,경상북도 안동시,2018,경상남도,거창군,530,23.0,3.6,21,5.0,4.0
47170,경상북도 안동시,2018,경상남도,창녕군,530,23.0,3.6,20,4.0,3.8
47170,경상북도 안동시,2018,경상남도,통영시,530,23.0,3.6,19,4.0,3.6
47170,경상북도 안동시,2018,경상남도,창원시 진해구,530,23.0,3.6,19,4.0,3.6
47170,경상북도 안동시,2018,경상남도,창원시 마산합포구,530,23.0,3.6,18,4.0,3.4
47170,경상북도 안동시,2018,경상남도,합천군,530,23.0,3.6,14,4.0,2.6
47170,경상북도 안동시,2018,경상남도,함양군,530,23.0,3.6,8,3.0,1.5
47170,경상북도 안동시,2018,경상남도,하동군,530,23.0,3.6,7,3.0,1.3
47170,경상북도 안동시,2018,경상남도,고성군,530,23.0,3.6,5,2.0,0.9
47170,경상북도 안동시,2018,경상남도,사천시,530,23.0,3.6,5,2.0,0.9
47170,경상북도 안동시,2018,경상남도,의령군,530,23.0,3.6,4,2.0,0.8
47170,경상북도 안동시,2018,경상남도,남해군,530,23.0,3.6,4,2.0,0.8
47170,경상북도 안동시,2018,경상남도,산청군,530,23.0,3.6,3,2.0,0.6
47170,경상북도 안동시,2018,부산광역시,해운대구,397,20.0,2.7,58,8.0,14.6
47170,경상북도 안동시,2018,부산광역시,금정구,397,20.0,2.7,37,6.0,9.3
47170,경상북도 안동시,2018,부산광역시,북구,397,20.0,2.7,36,6.0,9.1
47170,경상북도 안동시,2018,부산광역시,부산진구,397,20.0,2.7,33,6.0,8.3
47170,경상북도 안동시,2018,부산광역시,동래구,397,20.0,2.7,30,5.0,7.6
47170,경상북도 안동시,2018,부산광역시,강서구,397,20.0,2.7,27,5.0,6.8
47170,경상북도 안동시,2018,부산광역시,기장군,397,20.0,2.7,27,5.0,6.8
47170,경상북도 안동시,2018,부산광역시,사상구,397,20.0,2.7,24,5.0,6.0
47170,경상북도 안동시,2018,부산광역시,남구,397,20.0,2.7,23,5.0,5.8
47170,경상북도 안동시,2018,부산광역시,연제구,397,20.0,2.7,23,5.0,5.8
47170,경상북도 안동시,2018,부산광역시,수영구,397,20.0,2.7,22,5.0,5.5
47170,경상북도 안동시,2018,부산광역시,사하구,397,20.0,2.7,22,5.0,5.5
47170,경상북도 안동시,2018,부산광역시,영도구,397,20.0,2.7,11,3.0,2.8
47170,경상북도 안동시,2018,부산광역시,중구,397,20.0,2.7,10,3.0,2.5
47170,경상북도 안동시,2018,부산광역시,동구,397,20.0,2.7,7,3.0,1.8
47170,경상북도 안동시,2018,부산광역시,서구,397,20.0,2.7,7,3.0,1.8
47170,경상북도 안동시,2018,충청남도,천안시 서북구,299,17.0,2.0,65,8.0,21.7
47170,경상북도 안동시,2018,충청남도,아산시,299,17.0,2.0,55,7.0,18.4
47170,경상북도 안동시,2018,충청남도,천안시 동남구,299,17.0,2.0,42,6.0,14.0
