SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
11200,서울특별시 성동구,1,방문자유입,
11200,서울특별시 성동구,2,숙박방문자 비율,12.7
11200,서울특별시 성동구,3,체류시간,8.8
11200,서울특별시 성동구,4,목적지 검색량,
11200,서울특별시 성동구,5,관광소비,13.2
11320,서울특별시 도봉구,1,방문자유입,
11320,서울특별시 도봉구,2,숙박방문자 비율,11.6
11320,서울특별시 도봉구,3,체류시간,9.5
11320,서울특별시 도봉구,4,목적지 검색량,
11320,서울특별시 도봉구,5,관광소비,12.4
11230,서울특별시 동대문구,1,방문자유입,
11230,서울특별시 동대문구,2,숙박방문자 비율,12.5
11230,서울특별시 동대문구,3,체류시간,10.7
11230,서울특별시 동대문구,4,목적지 검색량,
11230,서울특별시 동대문구,5,관광소비,13.2
11590,서울특별시 동작구,1,방문자유입,
11590,서울특별시 동작구,2,숙박방문자 비율,11.2
11590,서울특별시 동작구,3,체류시간,9.2
11590,서울특별시 동작구,4,목적지 검색량,
11590,서울특별시 동작구,5,관광소비,12.2
11440,서울특별시 마포구,1,방문자유입,
11440,서울특별시 마포구,2,숙박방문자 비율,11.1
11440,서울특별시 마포구,3,체류시간,9.9
11440,서울특별시 마포구,4,목적지 검색량,
11440,서울특별시 마포구,5,관광소비,13.1
11350,서울특별시 노원구,1,방문자유입,
11350,서울특별시 노원구,2,숙박방문자 비율,10.8
11350,서울특별시 노원구,3,체류시간,9.5
11350,서울특별시 노원구,4,목적지 검색량,
11350,서울특별시 노원구,5,관광소비,12.5
11410,서울특별시 서대문구,1,방문자유입,
11410,서울특별시 서대문구,2,숙박방문자 비율,11.5
11410,서울특별시 서대문구,3,체류시간,10.0
11410,서울특별시 서대문구,4,목적지 검색량,
11410,서울특별시 서대문구,5,관광소비,12.1
11710,서울특별시 송파구,1,방문자유입,
11710,서울특별시 송파구,2,숙박방문자 비율,12.3
11710,서울특별시 송파구,3,체류시간,10.3
11710,서울특별시 송파구,4,목적지 검색량,
11710,서울특별시 송파구,5,관광소비,14.2
11110,서울특별시 종로구,1,방문자유입,
11110,서울특별시 종로구,2,숙박방문자 비율,12.6
11110,서울특별시 종로구,3,체류시간,10.1
11110,서울특별시 종로구,4,목적지 검색량,
11110,서울특별시 종로구,5,관광소비,14.2
11470,서울특별시 양천구,1,방문자유입,
11470,서울특별시 양천구,2,숙박방문자 비율,10.7
11470,서울특별시 양천구,3,체류시간,10.4
11470,서울특별시 양천구,4,목적지 검색량,
11470,서울특별시 양천구,5,관광소비,12.7
11170,서울특별시 용산구,1,방문자유입,
11170,서울특별시 용산구,2,숙박방문자 비율,12.3
11170,서울특별시 용산구,3,체류시간,9.1
11170,서울특별시 용산구,4,목적지 검색량,
11170,서울특별시 용산구,5,관광소비,15.4
11290,서울특별시 성북구,1,방문자유입,
11290,서울특별시 성북구,2,숙박방문자 비율,12.7
11290,서울특별시 성북구,3,체류시간,9.5
11290,서울특별시 성북구,4,목적지 검색량,
11290,서울특별시 성북구,5,관광소비,12.9
11140,서울특별시 중구,1,방문자유입,
11140,서울특별시 중구,2,숙박방문자 비율,9.5
11140,서울특별시 중구,3,체류시간,8.9
11140,서울특별시 중구,4,목적지 검색량,
11140,서울특별시 중구,5,관광소비,12.0
11380,서울특별시 은평구,1,방문자유입,
