SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
41281,경기도 고양시 덕양구,1,방문자유입,241,19
41281,경기도 고양시 덕양구,2,숙박방문자 비율,199,61
41281,경기도 고양시 덕양구,3,체류시간,76,184
41281,경기도 고양시 덕양구,4,목적지 검색량,246,13
41281,경기도 고양시 덕양구,5,관광소비,245,15
41285,경기도 고양시 일산동구,1,방문자유입,238,22
41285,경기도 고양시 일산동구,2,숙박방문자 비율,181,79
41285,경기도 고양시 일산동구,3,체류시간,48,212
41285,경기도 고양시 일산동구,4,목적지 검색량,232,27
41285,경기도 고양시 일산동구,5,관광소비,232,28
41287,경기도 고양시 일산서구,1,방문자유입,197,63
41287,경기도 고양시 일산서구,2,숙박방문자 비율,146,114
41287,경기도 고양시 일산서구,3,체류시간,53,207
41287,경기도 고양시 일산서구,4,목적지 검색량,205,54
41287,경기도 고양시 일산서구,5,관광소비,201,59
41210,경기도 광명시,1,방문자유입,194,66
41210,경기도 광명시,2,숙박방문자 비율,138,122
41210,경기도 광명시,3,체류시간,35,225
41210,경기도 광명시,4,목적지 검색량,212,47
41210,경기도 광명시,5,관광소비,173,87
41290,경기도 과천시,1,방문자유입,113,147
41290,경기도 과천시,2,숙박방문자 비율,28,232
41290,경기도 과천시,3,체류시간,13,247
41290,경기도 과천시,4,목적지 검색량,153,106
41290,경기도 과천시,5,관광소비,81,179
41610,경기도 광주시,1,방문자유입,213,47
41610,경기도 광주시,2,숙박방문자 비율,192,68
41610,경기도 광주시,3,체류시간,157,103
41610,경기도 광주시,4,목적지 검색량,229,30
41610,경기도 광주시,5,관광소비,196,64
41310,경기도 구리시,1,방문자유입,208,52
41310,경기도 구리시,2,숙박방문자 비율,131,129
41310,경기도 구리시,3,체류시간,22,238
41310,경기도 구리시,4,목적지 검색량,180,79
41310,경기도 구리시,5,관광소비,176,84
41410,경기도 군포시,1,방문자유입,135,125
41410,경기도 군포시,2,숙박방문자 비율,116,144
41410,경기도 군포시,3,체류시간,141,119
41410,경기도 군포시,4,목적지 검색량,94,165
41410,경기도 군포시,5,관광소비,125,135
41570,경기도 김포시,1,방문자유입,218,42
41570,경기도 김포시,2,숙박방문자 비율,214,46
41570,경기도 김포시,3,체류시간,177,83
41570,경기도 김포시,4,목적지 검색량,238,21
41570,경기도 김포시,5,관광소비,237,23
41360,경기도 남양주시,1,방문자유입,245,15
41360,경기도 남양주시,2,숙박방문자 비율,250,10
41360,경기도 남양주시,3,체류시간,169,91
41360,경기도 남양주시,4,목적지 검색량,254,5
41360,경기도 남양주시,5,관광소비,239,21
41250,경기도 동두천시,1,방문자유입,65,195
41250,경기도 동두천시,2,숙박방문자 비율,45,215
41250,경기도 동두천시,3,체류시간,181,79
41250,경기도 동두천시,4,목적지 검색량,63,196
41250,경기도 동두천시,5,관광소비,62,198
41194,경기도 부천시 소사구,1,방문자유입,59,201
41194,경기도 부천시 소사구,2,숙박방문자 비율,21,239
41194,경기도 부천시 소사구,3,체류시간,67,193
41194,경기도 부천시 소사구,4,목적지 검색량,31,228
41194,경기도 부천시 소사구,5,관광소비,55,205
41196,경기도 부천시 오정구,1,방문자유입,34,226
41196,경기도 부천시 오정구,2,숙박방문자 비율,9,251
41196,경기도 부천시 오정구,3,체류시간,26,234
41196,경기도 부천시 오정구,4,목적지 검색량,17,242
