SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
26500,부산광역시 수영구,50~59세,32366552.0,10.3,25427556.0,8.1
26500,부산광역시 수영구,40~49세,28941696.0,9.2,21898229.0,6.9
26500,부산광역시 수영구,30~39세,30560386.0,9.7,24212414.0,7.7
26500,부산광역시 수영구,20~29세,30801867.0,9.8,33074361.0,10.5
26500,부산광역시 수영구,10~19세,7404444.0,2.3,8133493.0,2.6
26500,부산광역시 수영구,0~9세,973076.0,0.3,1145743.0,0.4
26380,부산광역시 사하구,70세 이상,8839728.0,4.4,6066884.0,3.0
26380,부산광역시 사하구,60~69세,22324769.0,11.0,11681154.0,5.7
26380,부산광역시 사하구,50~59세,23912621.0,11.8,14830968.0,7.3
26380,부산광역시 사하구,40~49세,20811297.0,10.2,11967965.0,5.9
26380,부산광역시 사하구,30~39세,20504162.0,10.1,12875244.0,6.3
26380,부산광역시 사하구,20~29세,20858818.0,10.3,15361439.0,7.6
26380,부산광역시 사하구,10~19세,5847495.0,2.9,5313355.0,2.6
26380,부산광역시 사하구,0~9세,975415.0,0.5,1040034.0,0.5
26140,부산광역시 서구,70세 이상,10787213.0,6.1,6613879.0,3.8
26140,부산광역시 서구,60~69세,22729062.0,13.0,12479714.0,7.1
26140,부산광역시 서구,50~59세,21213981.0,12.1,14845034.0,8.5
26140,부산광역시 서구,40~49세,16193952.0,9.2,10694447.0,6.1
26140,부산광역시 서구,30~39세,14822412.0,8.4,10015684.0,5.7
26140,부산광역시 서구,20~29세,13855675.0,7.9,13178096.0,7.5
26140,부산광역시 서구,10~19세,3494169.0,2.0,3676582.0,2.1
26140,부산광역시 서구,0~9세,430415.0,0.2,482383.0,0.3
26200,부산광역시 영도구,70세 이상,7354385.0,4.9,4323048.0,2.9
26200,부산광역시 영도구,60~69세,17978628.0,12.0,8469043.0,5.7
26200,부산광역시 영도구,50~59세,18221106.0,12.2,11172433.0,7.5
26200,부산광역시 영도구,40~49세,15348697.0,10.3,9172643.0,6.1
26200,부산광역시 영도구,30~39세,14451701.0,9.7,9421647.0,6.3
26200,부산광역시 영도구,20~29세,14242804.0,9.5,11131737.0,7.4
26200,부산광역시 영도구,10~19세,3954817.0,2.6,3290614.0,2.2
26200,부산광역시 영도구,0~9세,474312.0,0.3,564491.0,0.4
26110,부산광역시 중구,70세 이상,19018725.0,5.7,11651989.0,3.5
26110,부산광역시 중구,60~69세,38911839.0,11.7,22898005.0,6.9
26110,부산광역시 중구,50~59세,36984554.0,11.2,27749113.0,8.4
26110,부산광역시 중구,40~49세,29348691.0,8.9,21448578.0,6.5
26110,부산광역시 중구,30~39세,28838043.0,8.7,21394195.0,6.5
26110,부산광역시 중구,20~29세,28593481.0,8.6,29169871.0,8.8
26110,부산광역시 중구,10~19세,6535386.0,2.0,7486845.0,2.3
26110,부산광역시 중구,0~9세,592588.0,0.2,765460.0,0.2
26470,부산광역시 연제구,70세 이상,12934906.0,5.3,8822219.0,3.6
26470,부산광역시 연제구,60~69세,26606830.0,10.9,16819906.0,6.9
26470,부산광역시 연제구,50~59세,25657574.0,10.5,21001498.0,8.6
26470,부산광역시 연제구,40~49세,22656085.0,9.2,17340818.0,7.1
26470,부산광역시 연제구,30~39세,22466590.0,9.2,17515838.0,7.1
26470,부산광역시 연제구,20~29세,19798979.0,8.1,18902954.0,7.7
26470,부산광역시 연제구,10~19세,6045239.0,2.5,6244156.0,2.5
26470,부산광역시 연제구,0~9세,1072202.0,0.4,1196587.0,0.5
26350,부산광역시 해운대구,70세 이상,20514071.0,3.6,15549998.0,2.7
26350,부산광역시 해운대구,60~69세,47071318.0,8.2,33508809.0,5.9
26350,부산광역시 해운대구,50~59세,53502442.0,9.3,46148904.0,8.1
26350,부산광역시 해운대구,40~49세,54664190.0,9.6,42978963.0,7.5
26350,부산광역시 해운대구,30~39세,58990237.0,10.3,49784177.0,8.7
26350,부산광역시 해운대구,20~29세,55031457.0,9.6,55710208.0,9.7
26350,부산광역시 해운대구,10~19세,16777263.0,2.9,16491938.0,2.9
26350,부산광역시 해운대구,0~9세,2544924.0,0.4,2975329.0,0.5
27200,대구광역시 남구,70세 이상,10721838.0,4.5,9213676.0,3.9
27200,대구광역시 남구,60~69세,23242549.0,9.8,16591061.0,7.0
27200,대구광역시 남구,50~59세,26301226.0,11.1,22504337.0,9.5
27200,대구광역시 남구,40~49세,21221963.0,9.0,16472595.0,7.0
27200,대구광역시 남구,30~39세,20863262.0,8.8,15241860.0,6.5
27200,대구광역시 남구,20~29세,21178953.0,9.0,20002208.0,8.5
27200,대구광역시 남구,10~19세,5353090.0,2.3,5785330.0,2.5
27200,대구광역시 남구,0~9세,639812.0,0.3,748662.0,0.3
27710,대구광역시 달성군,70세 이상,8048073.0,3.2,6929892.0,2.7
27710,대구광역시 달성군,60~69세,26081824.0,10.3,16287923.0,6.4
27710,대구광역시 달성군,50~59세,35275371.0,13.9,23658849.0,9.3
27710,대구광역시 달성군,40~49세,28340596.0,11.2,16257475.0,6.4
27710,대구광역시 달성군,30~39세,26182668.0,10.3,15847942.0,6.2
27710,대구광역시 달성군,20~29세,21766965.0,8.6,14526251.0,5.7
27710,대구광역시 달성군,10~19세,6270320.0,2.5,5253349.0,2.1
27710,대구광역시 달성군,0~9세,1554903.0,0.6,1643924.0,0.6
27290,대구광역시 달서구,70세 이상,15561304.0,3.3,14027459.0,3.0
27290,대구광역시 달서구,60~69세,40051955.0,8.6,27061341.0,5.8
27290,대구광역시 달서구,50~59세,52200427.0,11.2,39334445.0,8.4
27290,대구광역시 달서구,40~49세,45935027.0,9.9,30816986.0,6.6
27290,대구광역시 달서구,30~39세,47728822.0,10.2,31685543.0,6.8
27290,대구광역시 달서구,20~29세,49641117.0,10.7,38703792.0,8.3
27290,대구광역시 달서구,10~19세,14268016.0,3.1,13857622.0,3.0
27290,대구광역시 달서구,0~9세,2371815.0,0.5,2663091.0,0.6
27720,대구광역시 군위군,70세 이상,2288687.0,3.7,1873116.0,3.0
27720,대구광역시 군위군,60~69세,7436776.0,11.9,4618482.0,7.4
27720,대구광역시 군위군,50~59세,10285668.0,16.4,6972230.0,11.1
27720,대구광역시 군위군,40~49세,6875240.0,11.0,4235997.0,6.8
27720,대구광역시 군위군,30~39세,4951785.0,7.9,3183955.0,5.1
27720,대구광역시 군위군,20~29세,4108372.0,6.6,2777856.0,4.4
