SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11500,서울특별시 강서구,202402,202302,6476018.0,,
11500,서울특별시 강서구,202403,202303,7322847.0,,
11500,서울특별시 강서구,202404,202304,6699224.0,,
11500,서울특별시 강서구,202405,202305,7069510.0,,
11500,서울특별시 강서구,202406,202306,6813572.0,,
11500,서울특별시 강서구,202407,202307,6892896.0,,
11500,서울특별시 강서구,202408,202308,6855124.0,,
11500,서울특별시 강서구,202409,202309,6920344.0,,
11500,서울특별시 강서구,202410,202310,7230394.0,,
11500,서울특별시 강서구,202411,202311,6794476.0,,
11500,서울특별시 강서구,202412,202312,7069587.0,,
11500,서울특별시 강서구,202501,202401,6770554.0,,
11500,서울특별시 강서구,202502,202402,6610530.0,,
11500,서울특별시 강서구,202503,202403,7629496.0,,
11500,서울특별시 강서구,202504,202404,6822221.0,,
11500,서울특별시 강서구,202505,202405,8395793.0,,
11500,서울특별시 강서구,202506,202406,7833140.0,,
11500,서울특별시 강서구,202507,202407,8323616.0,,
11500,서울특별시 강서구,202508,202408,8143398.0,,
11500,서울특별시 강서구,202509,202409,8134318.0,,
11500,서울특별시 강서구,202510,202410,8305367.0,,
11500,서울특별시 강서구,202511,202411,8557878.0,,
11500,서울특별시 강서구,202512,202412,8630332.0,,
11500,서울특별시 강서구,202601,202501,8081132.0,,
11500,서울특별시 강서구,202602,202502,7687078.0,,
11500,서울특별시 강서구,202603,202503,8934216.0,,
11500,서울특별시 강서구,202604,202504,7738409.0,,
11500,서울특별시 강서구,202605,202505,8386304.0,,
11500,서울특별시 강서구,202606,202506,7881150.0,,
11500,서울특별시 강서구,202607,202507,8203296.0,,
11500,서울특별시 강서구,202608,202508,8229000.0,,
11620,서울특별시 관악구,201801,,4210682.0,,
11620,서울특별시 관악구,201802,,3858060.0,,
11620,서울특별시 관악구,201803,,5010040.0,,
11620,서울특별시 관악구,201804,,4074238.0,,
11620,서울특별시 관악구,201805,,4356726.0,,
11620,서울특별시 관악구,201806,,4230782.0,,
11620,서울특별시 관악구,201807,,4620424.0,,
11620,서울특별시 관악구,201808,,4322696.0,,
11620,서울특별시 관악구,201809,,4663148.0,,
11620,서울특별시 관악구,201810,,4404964.0,,
11620,서울특별시 관악구,201811,,4100537.0,,
11620,서울특별시 관악구,201812,,4892573.0,,
