SGG_CD,SGG_NM,PERIOD,수도권,부울경,대구경북,합계
41800,경기도 연천군,2023,97.58,0.07,0.19,68834
41800,경기도 연천군,2025,97.36,0.07,0.16,43639
41370,경기도 오산시,2019,86.97,0.89,1.6,14900
41370,경기도 오산시,2022,87.02,0.99,1.48,30504
41370,경기도 오산시,2023,85.9,1.12,1.28,30494
41370,경기도 오산시,2025,85.16,1.46,1.7,22253
41463,경기도 용인시 기흥구,2019,92.35,0.79,0.81,49575
41463,경기도 용인시 기흥구,2022,93.63,0.63,0.83,49321
41463,경기도 용인시 기흥구,2023,93.28,0.71,0.78,48694
41463,경기도 용인시 기흥구,2025,92.28,0.91,0.96,36843
41465,경기도 용인시 수지구,2019,95.79,0.47,0.65,14549
41465,경기도 용인시 수지구,2022,96.04,0.39,0.47,28889
41465,경기도 용인시 수지구,2023,94.99,0.51,0.54,27951
41465,경기도 용인시 수지구,2025,94.34,0.78,0.87,14660
41461,경기도 용인시 처인구,2019,88.66,1.22,1.36,150673
41461,경기도 용인시 처인구,2022,90.01,1.07,1.17,186839
41461,경기도 용인시 처인구,2023,89.14,1.24,1.34,197340
41461,경기도 용인시 처인구,2025,88.25,1.29,1.38,119642
41430,경기도 의왕시,2019,97.61,0.24,0.3,14481
41430,경기도 의왕시,2022,97.28,0.3,0.38,24718
41430,경기도 의왕시,2023,97.11,0.34,0.53,31092
41430,경기도 의왕시,2025,95.96,0.46,0.7,23764
41150,경기도 의정부시,2019,97.31,0.15,0.23,69908
41150,경기도 의정부시,2022,96.52,0.32,0.31,56152
41150,경기도 의정부시,2023,95.87,0.28,0.41,52316
41150,경기도 의정부시,2025,95.91,0.34,0.4,46278
41500,경기도 이천시,2019,84.54,0.69,1.23,57282
41500,경기도 이천시,2022,81.87,1.13,1.49,76134
41500,경기도 이천시,2023,83.26,0.87,1.52,78517
41500,경기도 이천시,2025,81.0,1.06,1.68,46392
41480,경기도 파주시,2019,96.66,0.26,0.46,47945
