,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
안동시,1805.4579,-4.8398058971391045,14543.013603363446,14.195964498211367,-2.81179267054964,5.641631965734328,29.64044114128402,-6.042799285165545,13.623360230844655,-0.0846257947807984,2.2626726301456066,1.0803392376986949,33.77587903061511,안동탈춤축제,554494.0,36.34,1.0,-6.211332631389677,0.0,48.78787878787879,46.66666666666667,47.727272727272734,34.0,0.0,54.0
양양군,1554.162,12.57573079675607,12815.47316174247,21.27199586472952,24.1611680599076,2.642965421671284,16.786676605383324,-3.134699448820877,20.99890984072261,1.3676542816415171,8.358638024488574,1.509928940545188,45.956888560326185,,,,,-10.010647014529972,188.71821088883271,34.54545454545454,46.868686868686865,40.7070707070707,51.0,0.0,59.0
양평군,2935.5142,-1.9223461277472431,13322.873110271448,24.083190104311925,5.23088428533216,0.3054996202521698,15.558084583955464,-15.964398483190324,10.78999916390748,-1.44935701930609,1.9995781994889668,1.205591742516301,40.22885273002022,,,,,-5.132552186066519,207.5045616359882,46.969696969696976,27.878787878787882,37.42424242424243,54.0,0.0,63.0
연천군,910.8375,17.002177707789468,9790.388076907242,1.039394518172165,2.2277403182692,0.8269153613742697,21.18210578430106,-18.442166197010454,10.449337766870116,-1.1887017824151656,1.6377928378335311,1.7619381570920825,38.37761245851758,연천구석기축제,186525.0,62.07,1.0,-9.0775427755165,386.1369340555148,66.36363636363636,72.92929292929293,69.64646464646464,4.0,91.66666666666666,14.0
영덕군,1087.6644,14.45091960435747,14083.933518463968,27.958921419671512,23.308166961744913,4.537376317504482,17.36005417178974,-4.052179943494227,16.56752670624985,-0.0847101845225992,4.7498748432713445,0.2763909173878376,34.16651102247765,,,,,-3.0163317907972664,0.0,27.878787878787882,40.0,33.93939393939394,61.0,0.0,64.0
영동군,680.0198,3.1048046501338966,10882.037699490516,14.582054919464603,8.143852759590198,2.507449993313005,23.018282540731427,-20.700608467281477,10.991467431501723,-3.882499240794941,7.340808368258216,0.6846269252581597,28.405951182899148,영동난계국악축제,134501.0,55.02,1.0,6.721166804819201,214.05063343688346,51.81818181818183,58.38383838383839,55.101010101010104,19.0,8.333333333333332,40.0
영월군,728.7029,18.336766877659393,13449.270066031026,12.626532560804794,-2.480052806087596,15.057461911657688,22.57039280424701,-16.674073876117134,17.991555084921647,-2.194567744392266,3.760762908743403,2.159550254980803,34.77038636543659,,,,,-6.995149901017617,42.29970312019595,63.63636363636365,61.81818181818181,62.727272727272734,10.0,50.0,21.0
영주시,951.791,7.138270122694634,12326.0725306291,-0.6783099021500316,0.8396936166133129,3.358566141053587,32.88315192419156,-19.99026411425433,15.63301275145226,-3.0928029359104716,1.9842369378749627,0.766730218194412,37.248789403958114,영주풍기인삼축제,198142.0,46.45,1.0,-4.7244093215710325,162.1544385819835,70.60606060606061,61.61616161616162,66.11111111111111,7.0,75.0,12.0
예천군,708.1895,10.32769462486469,8505.114520901538,7.463825164744153,7.586428394114519,2.301884757822626,27.167579096044214,-7.936713069581303,12.422348869147886,-2.0775540484185964,1.2532273366554916,1.4308694825808492,39.072233767886246,,,,,8.309334267012968,391.24884682512317,53.93939393939394,48.888888888888886,51.41414141414141,29.0,0.0,49.0
옹진군,679.1758,32.50165681745509,8742.569007906348,-3.3582996353613614,-0.8838096944584928,15.736787457616884,24.589022495534618,-10.264842574039768,20.766559326960383,-1.030176279851453,5.585106915991776,3.05450491755173,50.44992445191237,,,,,-4.18988096032461,359.09250258090447,70.0,75.15151515151516,72.57575757575758,2.0,100.0,8.0
울진군,867.8669,15.12658371417379,12735.47395343687,12.398009854553305,18.3233621319574,8.215870345279397,30.16168079570286,-12.731305610907418,20.38544837189114,-3.7711010559699183,3.8435598741639176,1.597510645434092,37.89164549830253,,,,,3.7285416586975373,112.32588876175294,48.484848484848484,56.96969696969697,52.72727272727273,22.0,0.0,37.0
원주시,3487.2732,14.46341150393533,19616.82434287053,3.400508505457034,1.9117852500025956,3.5086994451518416,32.791071917348994,-24.774243596513426,13.9813962997771,-2.217721905608416,6.201541897876587,2.360961523993742,31.009662588521795,,,,,-13.741543253321009,0.0,58.48484848484848,38.787878787878796,48.63636363636364,33.0,0.0,43.0
의성군,712.1964,7.381319445962653,13975.286171061802,39.47667606121226,16.184550599735626,-2.4444037112121175,20.0942393211035,-9.589233689421484,10.160364374724502,-2.3110490113274924,0.7964012593602918,0.1747457098625626,19.60477933188679,,,,,11.894197911206494,3.878857143633383,28.78787878787879,24.64646464646465,26.71717171717172,65.0,0.0,66.0
익산시,2711.4145,20.282356375276823,12428.454225644951,-12.006336127389128,-5.059632590188468,11.003190746476664,28.73213914240553,-21.619642988434897,10.104455722725158,-3.3047099660054133,1.4169262539010787,1.2419547691036426,27.247923665640307,,,,,4.018228413743885,434.1775167169638,75.75757575757575,71.51515151515152,73.63636363636363,1.0,100.0,5.0
인제군,988.1182,3.9840708724524942,11539.408949253237,-5.702792463155781,-21.68108680356348,38.32736760181725,17.536756471579974,-14.253745190717204,10.76063751032826,-0.7464879207148805,2.5303859747594784,0.9945168957140226,25.852824430158822,,,,,-7.1538391889960256,246.07508010724865,73.33333333333333,54.54545454545454,63.93939393939394,9.0,45.83333333333333,23.0
정선군,1018.7345,13.428514898359255,14885.25145658658,-1.2332482180243742,5.576192841271288,-0.4324057380168611,27.016802743335777,-23.541030303403755,26.88281037122039,-4.794854233540637,22.59458696420693,4.77899171354443,35.206056016758296,정선아리랑제,98027.0,39.43,1.0,-10.63556802497072,0.0,67.27272727272728,47.878787878787875,57.57575757575758,15.0,12.5,30.0
