,방문2019(만),방문당2019,방문2023(만),방문당2023,방문2024(만),방문당2024,방문2025(만),방문당2025,방문2026(만),방문당2026,방문%23→24,방문당%23→24,방문%24→25,방문당%24→25,방문%25→26,방문당%25→26,방문당%19→26,방문당%23→26,흐름,문제태그,중앙대비_23→26(%p),중앙보다나쁜해,방문%23→26,초과23→24,초과24→25,초과25→26
하동군,471.0882,10740.443084755678,574.1942,11071.9498734052,544.7376,11773.038431714644,524.0117,11086.52669396504,539.9027,13170.090092159198,-5.13007620070004,6.3321146349610835,-3.804749295807741,-5.831219712153968,3.0325658759146057,18.79365337503178,22.62147835271351,18.9500516417052,급락 후 회복완료,거쳐가기 · 쓸곳부족 · 야간공백 · 주말쏠림 · 고령화,12.77230248599085,1,-5.9721083912028465,4.591405329903631,-2.0002303058374857,11.325336118432315
울진군,514.0287,11336.663108499584,561.907,11952.076411221076,537.304,12158.792043238092,591.1783,12526.905672958565,581.4482,14386.69154019223,-4.378482560281327,1.7295374034167477,10.026781859059298,3.0275509969363457,-1.6458824689607132,14.846330895971604,26.904111046626312,20.369808937009836,개선·유지,체험공백 · 머무는데안씀 · 숙박이탈 · 고령화,14.192059781295484,1,3.4776573347546913,-0.01117190164070525,6.858540403252828,7.3780136393721385
삼척시,764.4343,15630.583295385884,827.7228,16312.799164164622,826.2615,14997.682452831215,847.9241,13427.291900300985,819.2103,13780.167558928397,-0.1765446113119018,-8.061870302568352,2.6217607863854298,-10.470888135345067,-3.3863644163434015,2.628047868829775,-11.838430476255644,-15.52542626037977,급락 후 회복중(미회복),소비하락 · 숙박이탈,-21.703175416094123,3,-1.028424008617379,-9.802579607625805,-6.639898729028586,-4.840269387769691
계룡시,310.7608,10699.660639308431,341.7235,11851.682134825378,338.1355,11424.001620652076,351.2604,10592.372496301889,344.2408,10853.921441037784,-1.049971687636353,-3.608606013121052,3.88155044353522,-7.279665672024982,-1.9984034636412185,2.469219665634026,1.4417354618017295,-8.41872640893515,급락 후 회복중(미회복),소비하락 · 방문↑소비↓ · 머무는데안씀 · 야간공백 · 업무체류의심,-14.596475564649502,3,0.7366481965682681,-5.349315318178505,-3.4486762657085,-4.99909759096544
청송군,298.2073,9275.294065571165,321.1777,10171.61714527503,300.5144,11191.04808288721,304.0501,10021.172168665624,305.9023,11665.09699338645,-6.433603578330627,10.02230936391202,1.1765492768399888,-10.45367605926474,0.6091759219944315,16.40451632854967,25.765252410551188,14.682816181350075,급락 후 회복완료,쓸곳부족 · 숙박이탈 · 계절쏠림 · 고령화,8.505067025635723,1,-4.75605871765069,8.281600058854568,-6.622686652948259,8.936199071950202
아산시,2053.6567,17904.117713539952,2393.7633,18067.448815845743,2530.9609,18258.07522352479,2682.8601,16792.654525668335,2794.3423,18428.57856032885,5.731460583425263,1.0550820407575268,6.001641510937605,-8.026151058728903,4.1553489874481375,9.741902521485969,2.9292750147206226,1.9987865921965664,급락 후 회복완료,방문↑소비↓ · 업무체류의심,-4.178962563517786,2,16.734277779260776,-0.6856272642999262,-4.195161652412422,2.2735852648865027
태안군,1001.1575,13068.22343137818,1175.802,14874.429878499952,1148.5083,15103.43181673132,1185.3235,14488.773318001373,1218.7572,15790.080337576672,-2.321283685518482,1.5395678362259524,3.205479664361155,-4.06966116170392,2.820639260083846,8.981485119644383,20.828056089575476,6.1558692773847845,급락 후 회복완료,숙박이탈 · 계절쏠림 · 주말쏠림,-0.021879878329567504,2,3.653268152290967,-0.20114146883150053,-0.23867175538743757,1.5131678630449166
무주군,526.717,8165.446530110097,562.9263,9477.425552865448,567.0009,9899.634374478066,563.5254,10474.110128842462,557.7895,10986.952246322311,0.7238247706671475,4.454889350040503,-0.6129619900074212,5.802999713256418,-1.0178600645152858,4.896283418556413,34.554212140241304,15.92760275495353,개선·유지,거쳐가기 · 계절쏠림 · 주말쏠림,9.749853599239177,1,-0.9125173224274641,2.71418004498305,9.6339891195729,-2.572033838043053
예천군,421.6473,7926.755371136018,460.2345,8378.970285799956,448.8322,8766.643970731155,458.6689,8413.130909900367,459.1638,9431.719138137632,-2.4774978842307616,4.626746147891203,2.191620832908159,-4.032478814139684,0.107899183921134,12.107124436143213,18.98587374705285,12.564179325492963,급락 후 회복완료,쓸곳부족 · 머무는데안씀 · 업무체류의심,6.386430169778611,1,-0.23264227258061876,2.88603684283375,-0.2014894078232019,4.638807179543747
통영시,1105.3778,11108.248962481424,1052.8048,12448.02825746995,1028.6774,12917.107151377098,1084.5957,12522.42213388823,1067.7982,13869.759005025482,-2.2917258735902446,3.768298755472843,5.435941335932926,-3.0555217423182124,-1.5487337816294078,10.759395081332412,24.85999415273437,11.421332906296744,급락 후 회복완료,머무는데안씀,5.243583750582392,0,1.424138643744799,2.02758945041539,0.7754676639982696,3.2910778247329464
