,v24,v26,s24,s26,pv24,pv26,방문%,방문당소비%,방문당소비26,격차,소비순위(낮은순)
안양시 만안구,19556285.0,21055988.0,256924329.0,264999523.0,13.137685864160806,12.585470840883838,7.668649746104639,-4.203289901940743,12.585470840883838,7.625030309284075,46.0
양구군,1960932.0,1944676.0,19310208.0,22241063.0,9.847464368983728,11.436899000141926,-0.8289935602050491,16.140547166277596,11.436899000141926,-21.21645006524395,212.0
양산시,23433788.0,24808015.0,363066917.0,372895478.0,15.493308934944706,15.031250102033557,5.864297312922684,-2.9823121377834827,15.031250102033557,4.59970011194486,60.0
양양군,10450534.0,10726738.0,143508223.0,182890761.0,13.732142587163489,17.049988635874204,2.642965421671284,24.161168059907602,17.049988635874204,-25.765111976997623,220.0
양주시,22587904.0,22654847.0,414655919.0,445639156.0,18.357432323069904,19.67080845878147,0.29636658629326185,7.154465355490025,19.67080845878147,-11.10500810795807,175.0
양천구,25202768.0,27942056.0,528585675.0,556490281.0,20.973318287895996,19.91586735779214,10.86899661180074,-5.041886627516279,19.91586735779214,11.663973900555714,41.0
양평군,19455016.0,19514451.0,257765294.0,272077362.0,13.249297456244703,13.94235287480032,0.3054996202521698,5.23088428533216,13.94235287480032,-9.172294003841298,161.0
여수시,18287071.0,17349503.0,361982153.0,373655161.0,19.794430338242794,21.536937455787637,-5.126944604742878,8.803017251667633,21.536937455787637,-18.176871195171817,187.0
여주시,15932558.0,16084376.0,678408679.0,715757669.0,42.580022555072446,44.500182599561214,0.9528790041122059,4.509532708690456,44.500182599561214,-7.803563043339556,149.0
연수구,32122225.0,33614178.0,692567958.0,726972002.0,21.560398073296604,21.626945689405225,4.644612880957033,0.30865671349102897,21.626945689405225,0.08904682870469749,109.0
연제구,20907005.0,21758024.0,311114629.0,286860861.0,14.880879829511688,13.184141216132494,4.070496945880109,-11.402139072544825,13.184141216132494,11.225726679663627,12.0
연천군,6106550.0,6157046.0,59428380.0,61254660.0,9.731907541901728,9.948709169949355,0.8269153613742697,2.2277403182692,9.948709169949355,-5.647734295656237,132.0
영광군,4638758.0,4648001.0,50201461.0,49563089.0,10.822177186220967,10.663312895156434,0.1992559215203693,-1.4679513034290714,10.663312895156434,-2.579702113811866,79.0
영덕군,6857377.0,7168522.0,88292879.0,113812278.0,12.87560520589724,15.876672764622889,4.537376317504482,23.308166961744913,15.876672764622889,-23.017699983001737,219.0
영도구,12328383.0,12874681.0,66397967.0,65588916.0,5.385780681862333,5.094410960551178,4.431221839879562,-5.409981180488832,5.094410960551178,5.594293681607088,36.0
영동군,4374165.0,4483845.0,48236389.0,53472693.0,11.0275650324119,11.92563369161958,2.5074499933130046,8.143852759590198,11.92563369161958,-9.883312105038499,185.0
영등포구,76314681.0,81454441.0,1891086053.0,1906814179.0,24.780108207488937,23.409579092194615,6.734955755105632,-5.530763238879343,23.409579092194615,8.018809655223668,34.0
영암군,6794574.0,7072854.0,98739869.0,112428850.0,14.532164783252048,15.89582507994651,4.095621005820238,9.383738190651725,15.89582507994651,-9.535026523592794,191.0
영양군,1155196.0,1209046.0,6290158.0,7495381.0,5.445100225416293,6.199417557313783,4.661546612003509,13.853139532244718,6.199417557313783,-13.438502259002515,203.0
영월군,4842164.0,5571271.0,68527068.0,76890095.0,14.152157589044899,13.801176607635853,15.057461911657688,-2.480052806087596,13.801176607635853,13.290605378983976,66.0
영주시,5916900.0,6115623.0,74743803.0,77902821.0,12.63225726309385,12.73832952096622,3.358566141053587,0.8396936166133129,12.73832952096622,-1.7280368143210323,115.0
영천시,8646036.0,9008556.0,150030785.0,172644296.0,17.352551504527625,19.164480522738604,4.192904123924546,10.441859329668102,19.164480522738604,-10.495864544504862,194.0
예산군,9821603.0,10981851.0,164937823.0,193394931.0,16.793371000640118,17.61041294404741,11.813224378953201,4.865264653392987,17.61041294404741,2.701050386798908,153.0
예천군,4488322.0,4591638.0,39347521.0,43307040.0,8.766643970731156,9.431719138137632,2.3018847578226254,7.586428394114519,9.431719138137632,-9.5314529750532,180.0
오산시,19820492.0,21615308.0,337348689.0,362805855.0,17.02019753091901,16.784672001897913,9.05535543719096,-1.3838002090941548,16.784672001897913,6.192246307523808,82.0
