DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
전북특별자치도,순창군,27698930900.0,584779.0,2.1,341966259.0,585.0,1.2,1.2
전북특별자치도,완주군,27698930900.0,1525795.0,2.1,2328051796.0,1526.0,8.4,8.4
전북특별자치도,익산시,27698930900.0,1728752.0,2.1,2988584946.0,1729.0,10.8,10.8
전북특별자치도,임실군,27698930900.0,950263.0,2.1,902998880.0,950.0,3.3,3.3
전북특별자치도,장수군,27698930900.0,528295.0,2.1,279095439.0,528.0,1.0,1.0
전북특별자치도,전주시,27698930900.0,3130065.0,2.1,9797305476.0,3130.0,35.4,35.4
전북특별자치도,정읍시,27698930900.0,1080652.0,2.1,1167808964.0,1081.0,4.2,4.2
전북특별자치도,진안군,27698930900.0,597343.0,2.1,356818664.0,597.0,1.3,1.3
제주특별자치도,서귀포시,25458749859.0,2978060.0,2.0,8868841895.0,2978.0,34.8,34.8
제주특별자치도,제주시,25458749859.0,4073071.0,2.0,16589907964.0,4073.0,65.2,65.2
충청남도,계룡시,44701816155.0,697357.0,3.4,486307152.0,697.0,1.1,1.1
충청남도,공주시,44701816155.0,1835021.0,3.4,3367303305.0,1835.0,7.5,7.5
충청남도,금산군,44701816155.0,1049621.0,3.4,1101704119.0,1050.0,2.5,2.5
충청남도,논산시,44701816155.0,1487169.0,3.4,2211671192.0,1487.0,4.9,4.9
충청남도,당진시,44701816155.0,1976678.0,3.4,3907257362.0,1977.0,8.7,8.7
충청남도,보령시,44701816155.0,1425023.0,3.4,2030691415.0,1425.0,4.5,4.5
충청남도,부여군,44701816155.0,1185598.0,3.4,1405642817.0,1186.0,3.1,3.1
충청남도,서산시,44701816155.0,1668102.0,3.4,2782563402.0,1668.0,6.2,6.2
충청남도,서천군,44701816155.0,911714.0,3.4,831223184.0,912.0,1.9,1.9
충청남도,아산시,44701816155.0,2348671.0,3.4,5516254533.0,2349.0,12.3,12.3
충청남도,예산군,44701816155.0,1358032.0,3.4,1844249911.0,1358.0,4.1,4.1
충청남도,천안시,44701816155.0,3918634.0,3.4,15355695553.0,3919.0,34.4,34.4
충청남도,청양군,44701816155.0,524208.0,3.4,274794106.0,524.0,0.6,0.6
충청남도,태안군,44701816155.0,1437719.0,3.4,2067036350.0,1438.0,4.6,4.6
충청남도,홍성군,44701816155.0,1232648.0,3.4,1519421755.0,1233.0,3.4,3.4
충청북도,괴산군,45705212990.0,1082491.0,3.5,1171786595.0,1082.0,2.6,2.6
충청북도,단양군,45705212990.0,1055411.0,3.5,1113891385.0,1055.0,2.4,2.4
충청북도,보은군,45705212990.0,853018.0,3.5,727639829.0,853.0,1.6,1.6
충청북도,영동군,45705212990.0,770097.0,3.5,593049910.0,770.0,1.3,1.3
충청북도,옥천군,45705212990.0,1056176.0,3.5,1115508014.0,1056.0,2.4,2.4
충청북도,음성군,45705212990.0,1949738.0,3.5,3801476373.0,1950.0,8.3,8.3
충청북도,제천시,45705212990.0,1655822.0,3.5,2741747996.0,1656.0,6.0,6.0
충청북도,증평군,45705212990.0,1028973.0,3.5,1058784917.0,1029.0,2.3,2.3
충청북도,진천군,45705212990.0,1679705.0,3.5,2821407836.0,1680.0,6.2,6.2
충청북도,청주시,45705212990.0,5092761.0,3.5,25936211217.0,5093.0,56.7,56.7
충청북도,충주시,45705212990.0,2150281.0,3.5,4623708919.0,2150.0,10.1,10.1
