BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201901,전국,기타관광쇼핑,44,2298703560.0,1988337409.0
201901,전국,기타레저,55,189526879.0,146240581.0
201901,전국,문화서비스,56,152125714.0,171238836.0
201901,전국,육상운송,31,2965401390.0,2973859172.0
201901,전국,수상운송,32,9767789.0,7853610.0
201901,전국,골프장,53,79963154.0,59219671.0
201901,전국,뷰티,62,317690405.0,286824363.0
201901,전국,일반외식업,71,3501073640.0,2924986440.0
201901,전국,제과음료업,72,509905479.0,413677176.0
201901,전국,콘도,12,48694890.0,66297291.0
201901,전국,렌터카,34,20082972.0,16359742.0
201901,전국,관광유원시설,52,31479902.0,26413109.0
201901,전국,스키장,54,10738320.0,10931622.0
201902,전국,호텔,11,105834721.0,91749998.0
201902,전국,캠핑장/펜션,13,7784075.0,8489176.0
201902,전국,기타숙박,14,116066671.0,105689359.0
201902,전국,여행업,21,125119309.0,154643158.0
201902,전국,항공운송,33,463709780.0,438042077.0
201902,전국,면세점,41,162050723.0,170889662.0
201902,전국,대형쇼핑몰,42,2644663516.0,2832722423.0
201902,전국,레저용품쇼핑,43,263051710.0,255224049.0
201902,전국,기타관광쇼핑,44,2078653000.0,2084695972.0
201902,전국,기타레저,55,180399023.0,139487176.0
201902,전국,문화서비스,56,171938191.0,131242036.0
201902,전국,육상운송,31,2590118124.0,2769574639.0
201902,전국,수상운송,32,9587498.0,8271373.0
201902,전국,렌터카,34,21094030.0,16394378.0
201902,전국,골프장,53,110126270.0,82915285.0
201902,전국,뷰티,62,293944433.0,289079303.0
201902,전국,일반외식업,71,3149448799.0,2689179235.0
201902,전국,제과음료업,72,483482426.0,401924937.0
201902,전국,콘도,12,38750711.0,45903482.0
201902,전국,관광유원시설,52,35984644.0,29036992.0
201902,전국,스키장,54,7469644.0,7460862.0
201903,전국,호텔,11,106151696.0,97099935.0
201903,전국,캠핑장/펜션,13,9771910.0,9968656.0
201903,전국,기타숙박,14,136339886.0,123162211.0
201903,전국,여행업,21,124377494.0,134607487.0
201903,전국,항공운송,33,465140779.0,476632468.0
201903,전국,면세점,41,160440176.0,153836616.0
201903,전국,대형쇼핑몰,42,3196752598.0,2996228627.0
201903,전국,레저용품쇼핑,43,350904568.0,357415306.0
201903,전국,기타관광쇼핑,44,2348668745.0,2181408430.0
201903,전국,기타레저,55,192834343.0,158503847.0
201903,전국,문화서비스,56,133009158.0,116674655.0
201903,전국,육상운송,31,2999337542.0,3033270330.0
201903,전국,수상운송,32,12476342.0,11173908.0
201903,전국,골프장,53,247884685.0,215872008.0
201903,전국,뷰티,62,352909442.0,324877031.0
201903,전국,일반외식업,71,3761997454.0,3248678477.0
201903,전국,제과음료업,72,574349990.0,482594454.0
201903,전국,콘도,12,21920225.0,21861523.0
201903,전국,렌터카,34,21851011.0,18333371.0
201903,전국,관광유원시설,52,36919263.0,39529421.0
201903,전국,스키장,54,599803.0,1123814.0
201904,전국,호텔,11,100601587.0,98282402.0
201904,전국,콘도,12,23159786.0,25568734.0
201904,전국,기타숙박,14,193076994.0,124079795.0
201904,전국,여행업,21,283296397.0,144285041.0
201904,전국,육상운송,31,2855144252.0,2991836393.0
201904,전국,항공운송,33,449213598.0,487527459.0
201904,전국,렌터카,34,27523556.0,18448653.0
201904,전국,면세점,41,229014628.0,181589444.0
201904,전국,레저용품쇼핑,43,392652157.0,362546130.0
201904,전국,관광유원시설,52,53701816.0,49791491.0
201904,전국,골프장,53,278595745.0,270013770.0
201904,전국,기타레저,55,167578564.0,155420688.0
201904,전국,문화서비스,56,125519898.0,137577458.0
201904,전국,캠핑장/펜션,13,8852706.0,10238249.0
201904,전국,대형쇼핑몰,42,2859665419.0,2831794343.0
201904,전국,기타관광쇼핑,44,2143152530.0,2153966535.0
