조회_SGG_CD,조회_지역,조회기간,RK,ITS_BRO_ID,MD5_POI_ID,ITS_BRO_NM,KTO_CATE_NAME_C,SRCH_CNT
47170,경상북도 안동시,202401-202408,16,0FBA58C292177C928CB72B4E7DF2696E,a4e46da5595fde44d05fc900c8b7b790,신촌닭백숙식당,한식,1822
47170,경상북도 안동시,202401-202408,17,924602C97B4583AFE14C5632CA1F46C0,2441bd830e162102d101541a1f24e577,가야숯불구이안동본점,한식,1803
47170,경상북도 안동시,202401-202408,18,FE3B07499021D28492B9CFC54B86172F,79a17959eaa0fc74df8d4e107d2c4c23,윤훈식농가쌈밥도청점,한식,1772
47170,경상북도 안동시,202401-202408,19,185FAFD3DCC8EB7582460670DEE9046B,08d62b6ccdbcd337e53161cb4630752e,옥야식당,한식,1718
47170,경상북도 안동시,202401-202408,20,64E180744531491192600655BF83D985,e3a43c03ccf189b236ef45862e29d9e4,이화식당안동점,한식,1592
47170,경상북도 안동시,202401-202408,21,ACF2E5EA9B2391E89067D25D3A1AEE93,2e0ead1815d44d93012f89f565b085b4,밀레니엄안동찜닭,전문음식,1486
47170,경상북도 안동시,202401-202408,22,FF978541E72A87986FC6356BF6B5EC4F,7ab5779d0b6e6530cf0b2e50aadc5c69,한상채비,한식,1413
47170,경상북도 안동시,202401-202408,23,E9D86374240CF667BB95681D7516CF2F,f71ea9200c95cba5d47e701f8c7a0464,스타벅스안동옥동점,카페/찻집,1396
47170,경상북도 안동시,202401-202408,24,E460E7F4327445FF9BE0CFA33F4510EB,6bcbc5cc2af1419964f82426d2783ebd,예미정본채 [한식],한식,1366
47170,경상북도 안동시,202401-202408,25,B0481F9AD141C454E790049171AC8F1B,d88f3124304374fdd858635972395d39,안동갈비골목,음식점기타,1350
47170,경상북도 안동시,202401-202408,26,DD80BB7D548863206BF48DB033BDBF04,ac5f2fe3b96fc0c071769bf2afbe151b,396커피컴퍼니,카페/찻집,1337
47170,경상북도 안동시,202401-202408,27,70021C89BA04776DBBEDA265FE68A27F,721bba279279951b166877e100d18eda,땡큐커피,카페/찻집,1326
47170,경상북도 안동시,202401-202408,28,7C46A893A2B9378AF180BC970D2E5067,0d20668fab5c27c544667095bef7e4d3,대구식육식당,한식,1310
47170,경상북도 안동시,202401-202408,29,B5209CB07C584B4E68F819ADA1C706C1,2635938ea56f75f229b4edd7e209c922,커피홀베이커리안동풍산점,카페/찻집,1309
47170,경상북도 안동시,202401-202408,30,64DED9A7EDE7FE54BAD12CAD1F572D2E,53b3a325f7ea0ebee301c0c38bf0d7c7,안동김대감,전문음식,1255
47170,경상북도 안동시,202401-202408,31,B4A4CB9DBC099BA0D2A3351930A71D13,7742517a3f4971f38853468b95113694,묵향,한식,1227
47170,경상북도 안동시,202401-202408,32,AAE1C13E300A766885073DB8E7191C3D,24e32523ff728febd6436991cd09151f,까치와호랑이,카페/찻집,1221
47170,경상북도 안동시,202401-202408,33,267E850BB33BEF2E7957FE8EB8FABDE7,d168ece943406de8e5bf7809b5a026b8,중앙찜닭,전문음식,1184
47170,경상북도 안동시,202401-202408,34,DD2D52E0DBC852ECF6D1EF46015DB67B,4e88e3a850871809a22c09a11f85b801,버버리찰떡,전문음식,1155
