조회_시도,조회기간,RNK,SIDO_CD,SIDO_NM,SGG_CD,SGG_NM,ITS_BRO_ID,ITS_BRO_NM,ADDR_ROAD_NM,KTO_CATE_MCLS_NM,KTO_CATE_SCLS_NM,NIGHT_SRCH_CNT,SRCH_CNT
47,2025,4,47,경상북도,47290,경산시,310891,대구CC,경북 경산시 일연로 718-42,레저스포츠,육상레저스포츠,3450,34273
47,2025,4,47,경상북도,47130,경주시,2991507,월정교,경북 경주시,역사관광,역사유적지,8309,12315
47,2025,4,47,경상북도,47930,울진군,373649,백암온천,경북 울진군,체험관광,웰니스관광,1155,11518
47,2025,4,47,경상북도,47113,포항시 북구,386106,롯데백화점 포항점,경북 포항시 북구 학산로 62-0,쇼핑,백화점,6282,51504
47,2025,5,47,경상북도,47820,청도군,1041843,청도용암웰빙스파,경북 청도군 온천길 23-0,체험관광,웰니스관광,1128,26127
47,2025,5,47,경상북도,47130,경주시,5457204,모다아울렛 경주포항점,경북 경주시 산업로 4930-0,쇼핑,쇼핑몰,2868,33712
47,2025,5,47,경상북도,47190,구미시,1102638,동락공원,경북 구미시 3공단1로 191-0,문화관광,도시공원,4571,25375
47,2025,5,47,경상북도,47130,경주시,2905809,벤자마스,경북 경주시 윗동천길 2-0,음식,전문음식,3381,13188
47,2025,5,47,경상북도,47130,경주시,2962773,경주양남주상절리,경북 경주시,기타관광,기타관광,555,22223
47,2025,5,47,경상북도,47850,칠곡군,1698116,세븐밸리CC,경북 칠곡군 봉계3길 180-0,레저스포츠,육상레저스포츠,3414,23061
47,2025,5,47,경상북도,47130,경주시,318090,코오롱호텔,경북 경주시 불국로 289-17,숙박,호텔,11445,33070
47,2025,5,47,경상북도,47130,경주시,318106,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,7391,247553
47,2025,5,47,경상북도,47111,포항시 남구,320095,송도해수욕장,경북 포항시 남구,자연관광,자연경관(하천/해양),8251,28199
44,2024_1-8,1,44,충청남도,44180,보령시,352601,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),54598,207420
44,2024_1-8,1,44,충청남도,44131,천안시 동남구,2362143,신세계백화점 천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,27361,154038
44,2024_1-8,1,44,충청남도,44200,아산시,2879739,온양온천랜드,충남 아산시 삼동로28번길 46-0,체험관광,웰니스관광,2820,24909
44,2024_1-8,1,44,충청남도,44150,공주시,267095,동학사,충남 공주시 동학사1로 462-0,역사관광,종교성지,13389,88533
44,2024_1-8,1,44,충청남도,44131,천안시 동남구,1933283,소노벨 천안,충남 천안시 동남구 종합휴양지로 200-0,숙박,콘도미니엄,12687,64136
44,2024_1-8,1,44,충청남도,44810,예산군,8842826,예당호출렁다리,충남 예산군,기타관광,기타관광,6006,55605
44,2024_1-8,1,44,충청남도,44825,태안군,5986422,솔라고CC,충남 태안군 기업도시9길 176-0,레저스포츠,육상레저스포츠,8351,39991
44,2024_1-8,1,44,충청남도,44133,천안시 서북구,7942981,두정동먹자골목,충남 천안시 서북구 원두정2길 15-0,음식,음식점기타,9995,11863
44,2024_1-8,1,44,충청남도,44270,당진시,266639,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,37145,139522
44,2024_1-8,2,44,충청남도,44270,당진시,1540987,파인스톤CC,충남 당진시 무수들길 90-0,레저스포츠,육상레저스포츠,3984,24351
44,2024_1-8,2,44,충청남도,44131,천안시 동남구,8936553,이우철한방누룽지삼계탕 천안본점,충남 천안시 동남구 유량로 164-0,음식,한식,8091,41514
44,2024_1-8,2,44,충청남도,44200,아산시,48171,신정호수공원,충남 아산시,문화관광,도시공원,11170,58783
44,2024_1-8,2,44,충청남도,44200,아산시,641991,파라다이스스파도고,충남 아산시 도고온천로 176-1,체험관광,웰니스관광,2710,52505
44,2024_1-8,2,44,충청남도,44210,서산시,1155505,삼길포항,충남 서산시,자연관광,자연경관(하천/해양),15874,74816
44,2024_1-8,2,44,충청남도,44133,천안시 서북구,305275,갤러리아백화점 센터시티점,충남 천안시 서북구 공원로 227-0,쇼핑,백화점,12474,83552
44,2024_1-8,2,44,충청남도,44760,부여군,1933888,롯데리조트 부여,충남 부여군 백제문로 400-0,숙박,콘도미니엄,11677,48480
44,2024_1-8,2,44,충청남도,44200,아산시,5477613,지중해마을,충남 아산시 탕정면로8번길 55-7,기타관광,기타관광,4514,21602
44,2024_1-8,2,44,충청남도,44210,서산시,266556,해미읍성,충남 서산시 남문2로 143-0,역사관광,역사유적지,8948,60352
44,2024_1-8,3,44,충청남도,44131,천안시 동남구,11400586,원성천벚꽃길,충남 천안시 동남구,기타관광,기타관광,3641,7271
44,2024_1-8,3,44,충청남도,44200,아산시,533354,아산스파비스,충남 아산시 아산온천로157번길 67-0,체험관광,웰니스관광,1419,35356
44,2024_1-8,3,44,충청남도,44131,천안시 동남구,5473367,뚜쥬루 빵돌가마점,충남 천안시 동남구 풍세로 706-0,음식,간이음식,6070,61729
44,2024_1-8,3,44,충청남도,44810,예산군,641507,예산상설시장,충남 예산군 예산시장길 2-0,쇼핑,시장,9150,108526
44,2024_1-8,3,44,충청남도,44810,예산군,1145623,스플라스리솜 예산,충남 예산군 온천단지3로 45-7,숙박,콘도미니엄,10702,81137
44,2024_1-8,3,44,충청남도,44825,태안군,265005,꽃지해수욕장,충남 태안군 꽃지해안로 400-0,자연관광,자연경관(하천/해양),8853,73338
44,2024_1-8,3,44,충청남도,44133,천안시 서북구,1580110,천안축구센터,충남 천안시 서북구 축구센터로 150-0,문화관광,레저스포츠시설,9461,37653
44,2024_1-8,3,44,충청남도,44760,부여군,337447,궁남지,충남 부여군 궁남로 52-0,역사관광,역사유적지,5500,35360
44,2024_1-8,3,44,충청남도,44270,당진시,10182189,플라밍고CC,충남 당진시 산단8로 299-0,레저스포츠,육상레저스포츠,3599,25669
44,2024_1-8,4,44,충청남도,44270,당진시,559113,장고항,충남 당진시 장고항로 334-0,자연관광,자연경관(하천/해양),8805,50206
44,2024_1-8,4,44,충청남도,44200,아산시,526953,외암리민속마을,충남 아산시 외암민속길 42-7,역사관광,역사유적지,3842,34812
44,2024_1-8,4,44,충청남도,44825,태안군,5685996,로얄링스CC,충남 태안군 기업도시6길 43-0,레저스포츠,육상레저스포츠,3466,25516
44,2024_1-8,4,44,충청남도,44133,천안시 서북구,7385332,신라스테이 천안,충남 천안시 서북구 동서대로 177-0,숙박,호텔,8126,20387
44,2024_1-8,4,44,충청남도,44133,천안시 서북구,2979452,모다아울렛 천안아산점,충남 천안시 서북구 공원로 196-0,쇼핑,쇼핑몰,7887,52464
44,2024_1-8,4,44,충청남도,44230,논산시,10102497,탑정호출렁다리,충남 논산시,기타관광,기타관광,2386,28266
44,2024_1-8,4,44,충청남도,44131,천안시 동남구,305264,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,7965,101071
44,2024_1-8,4,44,충청남도,44133,천안시 서북구,9043166,서들한우,충남 천안시 서북구 두정고5길 34-0,음식,한식,5310,8556
44,2024_1-8,4,44,충청남도,44710,금산군,1948068,하늘물빛정원,충남 금산군 검한1길 156-0,체험관광,농/산/어촌체험,701,9974
44,2024_1-8,5,44,충청남도,44131,천안시 동남구,730716,병천순대거리,충남 천안시 동남구 아우내순대길 33-0,음식,음식점기타,5001,40960
44,2024_1-8,5,44,충청남도,44131,천안시 동남구,310935,천안상록CC,충남 천안시 동남구 수신로 557-0,레저스포츠,육상레저스포츠,3404,24049
44,2024_1-8,5,44,충청남도,44825,태안군,264991,만리포해수욕장,충남 태안군 만리포2길 138-0,자연관광,자연경관(하천/해양),8462,54249
44,2024_1-8,5,44,충청남도,44810,예산군,385908,덕산싸이판온천,충남 예산군 온천단지3로 84-0,체험관광,웰니스관광,605,8602
44,2024_1-8,5,44,충청남도,44200,아산시,1506983,현충사곡교천은행나무길,충남 아산시,기타관광,기타관광,1646,10584
44,2024_1-8,5,44,충청남도,44133,천안시 서북구,2917317,CGV 천안펜타포트,충남 천안시 서북구 공원로 196-0,문화관광,공연시설,6627,19791
44,2024_1-8,5,44,충청남도,44200,아산시,2763104,퍼스트빌리지,충남 아산시 해위안길 127-0,쇼핑,쇼핑몰,6075,67888
44,2024_1-8,5,44,충청남도,44150,공주시,267097,공산성,충남 공주시 웅진로 280-0,역사관광,역사유적지,2990,29615
44,2024_1-8,5,44,충청남도,44825,태안군,504455,아일랜드리솜 태안,충남 태안군 꽃지해안로 204-0,숙박,콘도미니엄,7199,44924
44,2026_1-8,1,44,충청남도,44810,예산군,8842826,예당호출렁다리,충남 예산군,기타관광,기타관광,6375,58491
44,2026_1-8,1,44,충청남도,44131,천안시 동남구,1933283,소노벨 천안,충남 천안시 동남구 소노로 1-0,숙박,콘도미니엄,13697,71152
44,2026_1-8,1,44,충청남도,44825,태안군,5986422,솔라고CC,충남 태안군 기업도시9길 176-0,레저스포츠,육상레저스포츠,10971,48230
44,2026_1-8,1,44,충청남도,44131,천안시 동남구,2362143,신세계백화점 천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,23103,137293
44,2026_1-8,1,44,충청남도,44150,공주시,267095,동학사,충남 공주시 동학사1로 462-0,역사관광,종교성지,9909,72278
44,2026_1-8,1,44,충청남도,44131,천안시 동남구,5473367,뚜쥬루 빵돌가마점,충남 천안시 동남구 풍세로 706-0,음식,간이음식,8632,94042
44,2026_1-8,1,44,충청남도,44200,아산시,2879739,온양온천랜드,충남 아산시 삼동로28번길 46-0,체험관광,웰니스관광,3835,21946
44,2026_1-8,1,44,충청남도,44270,당진시,266639,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,28122,118850
44,2026_1-8,1,44,충청남도,44180,보령시,352601,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),47929,191643
44,2026_1-8,2,44,충청남도,44210,서산시,266556,해미읍성,충남 서산시 남문2로 143-0,역사관광,역사유적지,8561,65509
44,2026_1-8,2,44,충청남도,44133,천안시 서북구,7942981,두정동먹자골목,충남 천안시 서북구 원두정2길 15-0,음식,음식점기타,6065,7116
44,2026_1-8,2,44,충청남도,44200,아산시,641991,파라다이스스파도고,충남 아산시 도고온천로 176-1,체험관광,웰니스관광,3166,48672
44,2026_1-8,2,44,충청남도,44810,예산군,36038,살목지,충남 예산군,자연관광,자연경관(하천/해양),12862,22244
