조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,간이음식,3083,56.0,1.6,135,12.0,4.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,외국식,3083,56.0,1.6,101,10.0,3.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,기타관광,교통시설,3083,56.0,1.6,2525,50.0,81.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,기타관광,기타관광,3083,56.0,1.6,558,24.0,18.1
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,음식점기타,3083,56.0,1.6,9,3.0,0.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,전문음식,3083,56.0,1.6,202,14.0,6.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,카페/찻집,3083,56.0,1.6,216,15.0,7.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,기타관광,교통시설,2941,54.0,1.5,903,30.0,30.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,기타관광,기타관광,2941,54.0,1.5,2038,45.0,69.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,대구광역시 동구,기타관광,교통시설,2936,54.0,1.5,2787,53.0,94.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,대구광역시 동구,기타관광,기타관광,2936,54.0,1.5,148,12.0,5.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,대구광역시 동구,기타관광,데이트코스,2936,54.0,1.5,1,1.0,0.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,펜션/민박,2689,52.0,1.4,36,6.0,1.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,호텔,2689,52.0,1.4,631,25.0,23.5
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,기타숙박,2689,52.0,1.4,15,4.0,0.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,모텔,2689,52.0,1.4,1057,33.0,39.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,캠핑,2689,52.0,1.4,412,20.0,15.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,숙박,콘도미니엄,2689,52.0,1.4,538,23.0,20.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,간이음식,2595,51.0,1.3,79,9.0,3.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,외국식,2595,51.0,1.3,109,10.0,4.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,한식,2595,51.0,1.3,581,24.0,22.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,음식점기타,2595,51.0,1.3,62,8.0,2.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,전문음식,2595,51.0,1.3,1437,38.0,55.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영덕군,음식,카페/찻집,2595,51.0,1.3,327,18.0,12.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,기타관광,교통시설,2372,49.0,1.2,390,20.0,16.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,기타관광,기타관광,2372,49.0,1.2,1982,45.0,83.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,음식점기타,2348,48.0,1.2,26,5.0,1.1
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,전문음식,2348,48.0,1.2,86,9.0,3.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,카페/찻집,2348,48.0,1.2,374,19.0,15.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,간이음식,2348,48.0,1.2,533,23.0,22.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,외국식,2348,48.0,1.2,41,6.0,1.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 봉화군,음식,한식,2348,48.0,1.2,1288,36.0,54.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,공연시설,2233,47.0,1.1,244,16.0,10.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,기타문화관광지,2233,47.0,1.1,757,28.0,33.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,전시시설,2233,47.0,1.1,354,19.0,15.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,테마공원,2233,47.0,1.1,363,19.0,16.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,도시/지역문화관광,2233,47.0,1.1,4,2.0,0.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,도시공원,2233,47.0,1.1,340,18.0,15.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,랜드마크관광,2233,47.0,1.1,142,12.0,6.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,문화관광,레저스포츠시설,2233,47.0,1.1,29,5.0,1.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,역사관광,역사유물,2149,46.0,1.1,28,5.0,1.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,역사관광,역사유적지,2149,46.0,1.1,239,15.0,11.1
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,역사관광,종교성지,2149,46.0,1.1,1882,43.0,87.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 구미시,음식,간이음식,1919,44.0,1.0,159,13.0,8.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 구미시,음식,외국식,1919,44.0,1.0,198,14.0,10.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 구미시,음식,음식점기타,1919,44.0,1.0,8,3.0,0.4
