조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
44,2024_1-8,12,전남광주통합특별시,1,외지인,18591986076487.047,62701761208035.234,29.65
44,2024_1-8,47,경상북도,2,외국인,332811434121.5909,794097062059.1919,41.91
44,2024_1-8,52,전북특별자치도,2,외국인,135726033011.20161,327736149761.60504,41.41
44,2024_1-8,31,울산광역시,2,외국인,22104611929.999996,54146005232.49995,40.82
44,2024_1-8,48,경상남도,2,외국인,266283322795.11005,667813783366.5231,39.87
44,2024_1-8,28,인천광역시,2,외국인,2235810852265.4917,5647620981733.526,39.59
44,2024_1-8,43,충청북도,2,외국인,71835017029.4985,185122505050.4999,38.8
44,2024_1-8,27,대구광역시,2,외국인,140776962756.19955,364773264554.8002,38.59
44,2024_1-8,36,세종특별자치시,2,외국인,865822123.9,2283510250.0999985,37.92
44,2024_1-8,44,충청남도,2,외국인,140425025191.49884,375258320664.19586,37.42
44,2024_1-8,12,전남광주통합특별시,2,외국인,121240327943.10072,336060342326.3039,36.08
44,2024_1-8,50,제주특별자치도,2,외국인,132398265276.00005,371810820911.60004,35.61
44,2024_1-8,41,경기도,2,외국인,8537051133995.006,24316661355232.43,35.11
44,2024_1-8,26,부산광역시,2,외국인,2381981150550.3877,6843175723762.956,34.81
44,2024_1-8,11,서울특별시,2,외국인,34343864825081.016,100519103967802.05,34.17
44,2024_1-8,51,강원특별자치도,2,외국인,182767174020.0046,614822201256.5989,29.73
44,2024_1-8,30,대전광역시,2,외국인,40401643875.50003,138034865792.99942,29.27
44,2024_1-8,11,서울특별시,3,내국인,307176847448574.06,810549427509773.9,37.9
44,2024_1-8,31,울산광역시,3,내국인,2797036260526.008,7866644076726.495,35.56
44,2024_1-8,28,인천광역시,3,내국인,30255576618010.742,86820017088017.44,34.85
44,2024_1-8,26,부산광역시,3,내국인,35875680562734.83,105029622831321.14,34.16
44,2024_1-8,36,세종특별자치시,3,내국인,110279229657.00006,324962661495.1997,33.94
44,2024_1-8,27,대구광역시,3,내국인,13648497543201.844,40265932094918.484,33.9
44,2024_1-8,30,대전광역시,3,내국인,5532778225479.528,16673982658844.434,33.18
44,2024_1-8,43,충청북도,3,내국인,18546720085695.316,56047103919727.125,33.09
44,2024_1-8,41,경기도,3,내국인,471376495314162.8,1445876045262129.0,32.6
44,2024_1-8,50,제주특별자치도,3,내국인,1380372525569.0,4255044657156.6045,32.44
44,2024_1-8,47,경상북도,3,내국인,28216742761276.656,88902808166415.58,31.74
44,2024_1-8,48,경상남도,3,내국인,28326925705170.86,89745225205275.5,31.56
44,2024_1-8,52,전북특별자치도,3,내국인,11363560536195.078,36298927745608.8,31.31
44,2024_1-8,44,충청남도,3,내국인,19880601320788.953,63543484108272.125,31.29
44,2024_1-8,51,강원특별자치도,3,내국인,19242130001021.742,63012024358244.27,30.54
44,2024_1-8,12,전남광주통합특별시,3,내국인,19146601453227.824,65223165717136.09,29.36
44,2026_1-8,36,세종특별자치시,0,현지인,2084251724.0000002,7518181758.399997,27.72
44,2026_1-8,28,인천광역시,0,현지인,395283835801.4926,1458839161729.4658,27.1
44,2026_1-8,44,충청남도,0,현지인,404288660143.59503,1577323486746.5232,25.63
44,2026_1-8,27,대구광역시,0,현지인,352381775996.7016,1390944210842.294,25.33
44,2026_1-8,52,전북특별자치도,0,현지인,234577109190.40076,941795460382.3873,24.91
44,2026_1-8,41,경기도,0,현지인,16352135242683.695,66075846029082.23,24.75
44,2026_1-8,11,서울특별시,0,현지인,11943279405205.271,48448874835380.16,24.65
44,2026_1-8,31,울산광역시,0,현지인,80262691786.00002,331530714733.4999,24.21
44,2026_1-8,43,충청북도,0,현지인,440574216833.9998,1855918535988.0054,23.74
44,2026_1-8,48,경상남도,0,현지인,1014981505803.3035,4431130363584.905,22.91
44,2026_1-8,30,대전광역시,0,현지인,250042265846.50024,1103410767706.503,22.66
44,2026_1-8,26,부산광역시,0,현지인,1633840042068.8347,7589039629649.539,21.53
44,2026_1-8,47,경상북도,0,현지인,517345296472.7755,2431108907400.047,21.28
44,2026_1-8,51,강원특별자치도,0,현지인,512453401946.99475,2496509146357.2046,20.53
44,2026_1-8,50,제주특별자치도,0,현지인,34238383129.79999,170762671668.59985,20.05
44,2026_1-8,12,전남광주통합특별시,0,현지인,579821610631.7062,2970724390745.4565,19.52
