조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
52,2024_1-8,202402,1,외지인,80015794276.29997,258378357888.39996
52,2024_1-8,202403,1,외지인,87114187017.60005,277807022445.5999
52,2024_1-8,202404,1,외지인,85100053109.40005,272614387457.99994
52,2024_1-8,202405,1,외지인,95899094876.99997,305532553062.3997
52,2024_1-8,202406,1,외지인,89205052937.99994,280027644581.80005
52,2024_1-8,202407,1,외지인,88422092453.79999,268914987273.69986
52,2024_1-8,202408,1,외지인,93897548915.70003,299797543690.7999
52,2024_1-8,202401,2,외국인,814691893.9000002,1811829811.0999997
52,2024_1-8,202402,2,외국인,839045966.5999999,1845076015.0999994
52,2024_1-8,202403,2,외국인,1158340073.9,2751577533.699998
52,2024_1-8,202404,2,외국인,1380909874.1000006,3381202415.2
52,2024_1-8,202405,2,외국인,1091339420.3000002,2847452178.799999
52,2024_1-8,202406,2,외국인,1049004358.3999999,2645360733.300001
52,2024_1-8,202407,2,외국인,982002494.6000004,2352558491.300001
52,2024_1-8,202408,2,외국인,1167542981.3999999,2848452181.5999994
52,2026_1-8,202601,0,현지인,2669346309.2999997,8980329272.000002
52,2026_1-8,202602,0,현지인,1974461460.9999995,7720723864.200001
52,2026_1-8,202603,0,현지인,1713062607.3,7814947944.799996
52,2026_1-8,202604,0,현지인,1878508520.6000004,7831931838.999997
52,2026_1-8,202605,0,현지인,1751675660.7000003,8223748407.999999
52,2026_1-8,202606,0,현지인,1580373200.1,6376761562.699999
52,2026_1-8,202607,0,현지인,1585673038.9999993,6245125033.400001
52,2026_1-8,202608,0,현지인,1507968526.4,5668648349.8
52,2026_1-8,202601,1,외지인,82766727859.70004,275715493132.00006
52,2026_1-8,202602,1,외지인,84810244334.79991,286008372680.69995
52,2026_1-8,202603,1,외지인,93684832862.69998,298923854839.09985
52,2026_1-8,202604,1,외지인,89519182643.69989,295692133930.90015
52,2026_1-8,202605,1,외지인,103491627281.49995,345100274758.7
52,2026_1-8,202606,1,외지인,89491598436.59993,291881312419.5996
52,2026_1-8,202607,1,외지인,94369057126.50005,302118908499.6
52,2026_1-8,202608,1,외지인,96827907530.79996,323109033281.80023
52,2026_1-8,202601,2,외국인,829531750.4000001,2152761262.600001
52,2026_1-8,202602,2,외국인,834564162.3999997,1940533048.6999996
52,2026_1-8,202603,2,외국인,1644953452.8,4200814765.0999966
52,2026_1-8,202604,2,외국인,2073434174.700001,5105189997.299995
52,2026_1-8,202605,2,외국인,2011171687.9,5002244830.399996
52,2026_1-8,202606,2,외국인,1691762783.6,4213411256.5000014
52,2026_1-8,202607,2,외국인,1392266534.2999992,3640232316.0999994
52,2026_1-8,202608,2,외국인,1465625443.2000003,3737304214.7000003
52,2025,202501,0,현지인,2128641659.5999992,7768670121.300002
52,2025,202502,0,현지인,1540016141.0,6160355727.7
52,2025,202503,0,현지인,1494567563.4999993,7338585688.200005
52,2025,202504,0,현지인,1500377480.3999994,7002848974.299997
52,2025,202505,0,현지인,1779292391.1000009,7796409464.299999
52,2025,202506,0,현지인,1678548119.0999985,6616107568.199996
52,2025,202507,0,현지인,1679769541.699999,6368346374.700003
52,2025,202508,0,현지인,1454934028.7000003,5559796956.400001
52,2025,202509,0,현지인,1553931602.7999997,6465214289.199998
52,2025,202510,0,현지인,1970845543.3000007,9025248706.999998
52,2025,202511,0,현지인,2050659103.0,9997173128.0
52,2025,202512,0,현지인,2318091756.0,10052906970.0
52,2025,202501,1,외지인,83964714724.4,279633804567.6
52,2025,202502,1,외지인,68999081612.2,222305232444.79962
52,2025,202503,1,외지인,83996633121.40002,273773666167.50012
52,2025,202504,1,외지인,81580378980.1999,266948690685.00006
52,2025,202505,1,외지인,97095751281.70004,316543955627.1
52,2025,202506,1,외지인,82319211089.40001,264103155317.69986
52,2025,202507,1,외지인,86462198629.09999,272269527366.69983
52,2025,202508,1,외지인,90562142945.69998,297342775402.3999
52,2025,202509,1,외지인,82398534119.09999,267435775157.0001
52,2025,202510,1,외지인,100769193183.1,342974007822.8001
52,2025,202511,1,외지인,91912201768.0,312298629109.0
52,2025,202512,1,외지인,95099971673.0,302379812955.0
52,2025,202501,2,외국인,852125648.0999999,2012545682.4000003
52,2025,202502,2,외국인,785281695.0000001,1957453086.9999998
52,2025,202503,2,외국인,1166766104.7,2870907123.800001
52,2025,202504,2,외국인,1332522157.7000003,3432085055.3
52,2025,202505,2,외국인,1365387461.2000003,3348416949.8
52,2025,202506,2,외국인,1145812397.5000002,2886052698.000001
52,2025,202507,2,외국인,1058518339.8,2695171588.7000003
52,2025,202508,2,외국인,1285671540.3999999,3080272356.400001
52,2025,202509,2,외국인,1231054010.9,3158448867.6999993
52,2025,202510,2,외국인,1570476680.1000004,3926358671.1000004
52,2025,202511,2,외국인,1524427395.7999997,3788461189.2000003
52,2025,202512,2,외국인,1187442191.8,3012359599.3
43,2024_1-8,202401,0,현지인,2624410063.7999997,11016250964.9
43,2024_1-8,202402,0,현지인,2800193509.900001,11967856502.999994
43,2024_1-8,202403,0,현지인,3768945560.799999,15140409248.199999
43,2024_1-8,202404,0,현지인,3898661362.799998,15792890277.600002
43,2024_1-8,202405,0,현지인,4099915335.1,16497176866.600002
43,2024_1-8,202406,0,현지인,3788192242.6999974,14567180056.0
43,2024_1-8,202407,0,현지인,3417924153.7999997,12631377712.399992
43,2024_1-8,202408,0,현지인,3062959676.2999988,12390792622.9
43,2024_1-8,202401,1,외지인,128438926758.29999,383996496927.4997
43,2024_1-8,202402,1,외지인,132510238242.19998,400985669528.20026
43,2024_1-8,202403,1,외지인,156380773207.0001,466862971963.79944
43,2024_1-8,202404,1,외지인,156595733041.00003,465256018886.09973
43,2024_1-8,202405,1,외지인,167414304318.10007,502440280584.1998
43,2024_1-8,202406,1,외지인,159210840877.80005,472851081343.5002
43,2024_1-8,202407,1,외지인,150910790506.89993,446771802126.20056
43,2024_1-8,202408,1,외지인,157525196856.50003,487305339037.40027
43,2024_1-8,202401,2,외국인,522839407.20000005,1260188162.0000002
43,2024_1-8,202402,2,외국인,417957285.1000001,1136918481.1000004
43,2024_1-8,202403,2,외국인,649374747.4000003,1663264889.0000005
