BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202102,아시아,-97.9,말레이시아,18541.0,394.0,3,전체,11
202102,아시아,-98.4,싱가포르,2297.0,37.0,3,남성,12
202102,아시아,-98.5,싱가포르,2549.0,39.0,3,여성,12
202102,아시아,-98.5,싱가포르,1063.0,16.0,3,승무원,12
202102,아시아,-98.4,싱가포르,5909.0,92.0,3,전체,12
202102,아시아,-95.6,몽골,3098.0,135.0,3,남성,13
202102,아시아,-94.1,몽골,3267.0,192.0,3,여성,13
202102,아시아,-100.0,몽골,34.0,0.0,3,승무원,13
202102,아시아,-94.9,몽골,6399.0,327.0,3,전체,13
202102,아시아,-91.8,우즈베키스탄,4845.0,397.0,3,남성,14
202102,아시아,-86.6,우즈베키스탄,1566.0,210.0,3,여성,14
202102,아시아,-98.3,우즈베키스탄,477.0,8.0,3,승무원,14
202102,아시아,-91.1,우즈베키스탄,6888.0,615.0,3,전체,14
202102,아시아,-63.5,미얀마,2688.0,982.0,3,남성,15
202102,아시아,-77.2,미얀마,272.0,62.0,3,여성,15
202102,아시아,137.2,미얀마,1359.0,3224.0,3,승무원,15
202102,아시아,-1.2,미얀마,4319.0,4268.0,3,전체,15
202102,아시아,-82.0,GCC,539.0,97.0,3,남성,16
202102,아시아,-72.0,GCC,214.0,60.0,3,여성,16
202102,아시아,11.1,GCC,36.0,40.0,3,승무원,16
202102,아시아,-75.0,GCC,789.0,197.0,3,전체,16
202102,아시아,-77.6,카자흐스탄,1437.0,322.0,3,남성,17
202102,아시아,-74.3,카자흐스탄,1468.0,377.0,3,여성,17
202102,아시아,-87.3,카자흐스탄,299.0,38.0,3,승무원,17
202102,아시아,-77.0,카자흐스탄,3204.0,737.0,3,전체,17
202102,아시아,-89.1,튀르키예,478.0,52.0,3,남성,18
202102,아시아,-69.3,튀르키예,202.0,62.0,3,여성,18
202102,아시아,-76.3,튀르키예,1104.0,262.0,3,승무원,18
202102,아시아,-78.9,튀르키예,1784.0,376.0,3,전체,18
202102,아시아,-80.2,캄보디아,1714.0,339.0,3,남성,19
202102,아시아,-84.0,캄보디아,774.0,124.0,3,여성,19
202102,아시아,-100.0,캄보디아,80.0,0.0,3,승무원,19
202102,아시아,-82.0,캄보디아,2568.0,463.0,3,전체,19
202102,아시아,-92.5,스리랑카,912.0,68.0,3,남성,20
202102,아시아,-80.0,스리랑카,55.0,11.0,3,여성,20
202102,아시아,-32.2,스리랑카,121.0,82.0,3,승무원,20
