region,year,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn
속초시,2026,13205805.0,246739830.58,3249743.0,198883524.14,9956062.0,47856306.44,2198735.0,823774.0,191863.0,35371.0,3214372.0,132308086.47,18.68419460835595,4.806750544542611,61.19976999411953,41.16141083546024,75.39155697058982,24.608443029410175,16.649761222432105,6.2379688326459455,1.452868643751744,0.2678443305803773,67.65873485995661,25.34889682045626,5.903943788785759,1.0884245308013587
양양군,2018,6548375.0,117936635.38999999,1464361.0,93792798.13,5084014.0,24143837.26,1069713.0,296492.0,79965.0,18191.0,1446170.0,60807276.38999999,18.01006133430049,4.748971434775751,64.0503251110894,42.047115062544506,77.637795636322,22.36220436367801,16.335548895718404,4.527718708839979,1.2211426498940576,0.2777941092255712,73.04981490219966,20.247193144313457,5.460743628108097,1.2422483253787828
양양군,2019,6676496.0,119420018.17999998,1371840.0,95913490.52,5304656.0,23506527.659999996,1002134.0,279924.0,72568.0,17214.0,1354626.0,60550444.54,17.886630678727283,4.431301041952579,69.91594538721716,44.69901252449015,79.45269494657077,20.547305053429223,15.00987943376286,4.192678315092228,1.0869174489133222,0.2578298556608137,73.05035572661535,20.405003498950315,5.289829717751341,1.254811056682995
양양군,2020,7278951.0,133963233.84,1426609.0,109371027.33,5852342.0,24592206.509999998,1021756.0,305123.0,79231.0,20499.0,1406110.0,66116286.41999998,18.404195033048033,4.20211370251431,76.66503388805202,47.02070707128175,80.40089842616058,19.599101573839416,14.037132548357587,4.191854018525472,1.0884947570055081,0.28162024995085144,71.62130618831088,21.387990682800964,5.553799254035268,1.4369038748528855
양양군,2021,7054040.0,136012473.36,1612492.0,108481481.07,5441548.0,27530992.29,1138427.0,367295.0,88044.0,18726.0,1593766.0,70717592.31,19.28150015593901,5.059404472771351,67.27567086844462,44.371377172056626,77.14087246457349,22.859127535426506,16.138652460150496,5.206874358523626,1.2481358200407142,0.2654648967116716,70.60047429692673,22.778097503739552,5.460120112223812,1.1613080871098895
양양군,2022,8008249.0,160994078.70000002,2027312.0,127504376.66000001,5980937.0,33489702.039999995,1409356.0,487472.0,110099.0,20385.0,2006927.0,85443850.02999999,20.103530584526034,5.5994072567559225,62.893317190447256,42.57446834389093,74.68470323537643,25.31529676462358,17.598803433809312,6.087123414868843,1.3748198888421177,0.2545500271033031,69.51845596533735,24.045238226775158,5.430787170401004,1.0055186374864846
양양군,2023,8000698.0,152196945.99999997,1987085.0,119615422.09,6013613.0,32581523.91,1393987.0,471057.0,103357.0,18684.0,1968401.0,81930298.87999998,19.022958496871144,5.417961533274589,60.19642948842149,41.62276836884353,75.16360447550952,24.836395524490488,17.423317315564216,5.88769879827985,1.2918497861061622,0.23352962454025886,70.15235885732115,23.705931049753783,5.201438287743101,0.9402718051819626
양양군,2024,7910375.0,136091518.57999998,1777748.0,107698236.5,6132627.0,28393282.08,1243279.0,423005.0,94406.0,17058.0,1760690.0,72972336.78999999,17.204180406112226,4.629872659791635,60.581272767568855,41.445306550272896,77.52637517184709,22.4736248281529,15.717067774915854,5.34747088475578,1.193445317067775,0.21564085141349176,69.93561517155412,23.794429806699263,5.310426449643031,0.9595285721035827
양양군,2025,8127832.0,138443086.93999997,1755838.0,110185343.02999996,6371994.0,28257743.910000004,1198806.0,442361.0,97175.0,17496.0,1738342.0,74396694.88,17.03321217023186,4.43467836127906,62.75370679413474,42.797501803442586,78.39721588733626,21.602784112663745,14.749394426459602,5.442546056562192,1.1955832748511535,0.21526035479079783,68.27543315499494,25.19372516143289,5.5343944031283065,0.9964472804438679
양양군,2026,8178064.0,137957314.73999998,1748817.0,109939534.23,6429247.0,28017780.509999998,1184530.0,448906.0,98104.0,17277.0,1731540.0,74266776.17999999,16.869189913407375,4.357863449638814,62.86508778791606,42.89059229356526,78.615757959341,21.384242040659014,14.484234899604601,5.489147553748662,1.199599318371683,0.21126026893406558,67.73321622559708,25.66912375623064,5.609735038028565,0.9879249801437199
