시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
괴산군,137.69896628774717,128.97567382107718,7550261.0,-0.06335045717366583,3.8083333333333336,0.49101280546698933,0.08608670713950835,64.58333333333333,16.319444444444443,68.75,66.66666666666667,54.079861111111114,56,-,36,98,0.0
안동시,183.47290282255472,152.66675490128526,11726312.0,-0.16790570949358952,3.0658333333333334,0.5573177986427954,0.10507417691760297,84.72222222222221,82.63888888888889,25.694444444444443,22.916666666666664,53.99305555555555,57,체험문화 · 평균숙박일수,18,100,0.121
보은군,76.14419904464468,125.19173741898571,5675079.0,0.6441401838843113,3.155,0.4922005691911634,0.08690044590703216,4.861111111111116,77.77777777777779,66.66666666666667,65.97222222222221,53.81944444444444,58,평균숙박일수,25,110,0.057
장성군,41.75646518717095,60.819979285223845,6874320.0,0.4565404186537769,3.5566666666666666,0.4807156962008708,0.07889615789097354,6.944444444444442,50.0,75.0,80.55555555555556,53.125,59,저녁전환율 · 야간방문비중,32,111,0.0
옥천군,90.88472863984629,89.4883827477825,8311604.0,-0.015363922112780481,3.5375,0.5188724450661012,0.08804394043031938,47.22222222222222,51.736111111111114,50.69444444444444,62.5,53.03819444444444,60,-,52,71,0.0
정읍시,129.3322127399871,114.06072838875326,7285917.0,-0.11807951033773811,3.4966666666666666,0.534687340008981,0.09801340626320307,74.30555555555556,57.638888888888886,41.666666666666664,38.19444444444444,52.951388888888886,61,-,41,82,0.0
음성군,249.52188448145012,179.68018739632282,12805374.0,-0.27990209047302805,4.0825000000000005,0.5160838266420303,0.08823311028120187,94.44444444444444,2.083333333333337,52.77777777777778,61.111111111111114,52.60416666666667,62,체험문화,21,121,0.089
문경시,307.4641251277482,266.03060653984727,8184656.0,-0.13475887169173228,3.3233333333333337,0.5500478294954648,0.10231125508765065,79.86111111111111,72.22222222222221,29.861111111111114,27.77777777777778,52.43055555555555,63,체험문화,31,96,0.017
광명시,351.4289688053844,279.6246908373017,30498909.0,-0.20432088513410718,3.189166666666667,0.6089071914414671,0.097957688560951,87.5,77.08333333333334,5.555555555555558,38.888888888888886,52.25694444444445,64,체험문화 · 평균숙박일수,20,105,0.112
포천시,316.2964461742997,348.3972897679185,19373839.0,0.10148973844596765,3.6425,0.47723263917533876,0.08484208473635864,27.083333333333336,35.416666666666664,76.38888888888889,68.75,51.90972222222222,65,저녁전환율,43,97,0.0
김제시,71.44466540253438,80.54204126820957,8642294.0,0.12733457164952267,4.238333333333333,0.44436197481712764,0.07196767641389766,23.611111111111114,0.694444444444442,87.5,95.13888888888889,51.736111111111114,66,저녁전환율 · 야간방문비중,22,128,0.072
홍성군,178.8378227316117,167.71560779403333,8845587.0,-0.06219162572936199,3.486666666666667,0.5389087766053229,0.09506690771796056,63.19444444444444,58.68055555555556,36.80555555555556,45.833333333333336,51.12847222222222,67,-,52,83,0.0
삼척시,190.9181294299686,187.0497722013505,8192103.0,-0.020261864287943743,3.0500000000000003,0.5229696368945445,0.10889888671836957,49.30555555555556,85.76388888888889,48.611111111111114,17.361111111111114,50.26041666666667,68,평균숙박일수,32,107,0.009
