R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
경주시,경상북도,202608,7박이상,외국인(c),172.0,2.83,233069.22
경주시,경상북도,202608,7박이상,외지인(b),9783.0,2.47,20549390.94
경주시,경상북도,202608,무박,외국인(c),28075.0,0.0,154215.8
경주시,경상북도,202608,무박,외지인(b),2966511.0,0.0,14042339.42
계룡시,충청남도,202608,1박,외국인(c),71.0,3.24,2564.4
계룡시,충청남도,202608,1박,외지인(b),23671.0,2.93,1147181.05
계룡시,충청남도,202608,2박,외국인(c),8.0,3.24,734.23
계룡시,충청남도,202608,2박,외지인(b),6214.0,2.93,553716.93
계룡시,충청남도,202608,3박,외국인(c),7.0,3.24,2051.62
계룡시,충청남도,202608,3박,외지인(b),2479.0,2.93,660099.69
계룡시,충청남도,202608,4박,외국인(c),10.0,3.24,2904.49
계룡시,충청남도,202608,4박,외지인(b),1260.0,2.93,640445.96
계룡시,충청남도,202608,5박,외국인(c),6.0,3.24,2136.94
계룡시,충청남도,202608,5박,외지인(b),893.0,2.93,672715.83
계룡시,충청남도,202608,6박,외국인(c),1.0,3.24,737.88
계룡시,충청남도,202608,6박,외지인(b),481.0,2.93,577211.96
계룡시,충청남도,202608,7박이상,외국인(c),10.0,3.24,9716.27
계룡시,충청남도,202608,7박이상,외지인(b),2291.0,2.93,4402188.22
계룡시,충청남도,202608,무박,외국인(c),320.0,0.0,2269.05
계룡시,충청남도,202608,무박,외지인(b),318453.0,0.0,993780.02
계양구,인천광역시,202608,1박,외국인(c),721.0,3.45,25732.02
계양구,인천광역시,202608,1박,외지인(b),85767.0,2.96,4972602.78
계양구,인천광역시,202608,2박,외국인(c),294.0,3.45,15633.08
계양구,인천광역시,202608,2박,외지인(b),19981.0,2.96,2115487.36
계양구,인천광역시,202608,3박,외국인(c),217.0,3.45,31675.11
계양구,인천광역시,202608,3박,외지인(b),8165.0,2.96,2375300.76
계양구,인천광역시,202608,4박,외국인(c),102.0,3.45,27985.44
계양구,인천광역시,202608,4박,외지인(b),4409.0,2.96,2294363.89
계양구,인천광역시,202608,5박,외국인(c),82.0,3.45,33690.4
계양구,인천광역시,202608,5박,외지인(b),2797.0,2.96,2207144.53
계양구,인천광역시,202608,6박,외국인(c),57.0,3.45,32451.71
계양구,인천광역시,202608,6박,외지인(b),1972.0,2.96,2130297.8
계양구,인천광역시,202608,7박이상,외국인(c),106.0,3.45,127601.21
계양구,인천광역시,202608,7박이상,외지인(b),9348.0,2.96,18409835.52
계양구,인천광역시,202608,무박,외국인(c),13244.0,0.0,43107.74
계양구,인천광역시,202608,무박,외지인(b),2323852.0,0.0,5339246.99
고령군,경상북도,202608,1박,외국인(c),69.0,3.74,2554.96
고령군,경상북도,202608,1박,외지인(b),17714.0,2.7,815977.89
고령군,경상북도,202608,2박,외국인(c),13.0,3.74,1229.81
고령군,경상북도,202608,2박,외지인(b),3858.0,2.7,327764.47
고령군,경상북도,202608,3박,외국인(c),12.0,3.74,3210.58
고령군,경상북도,202608,3박,외지인(b),1176.0,2.7,341584.69
고령군,경상북도,202608,4박,외국인(c),8.0,3.74,3465.59
고령군,경상북도,202608,4박,외지인(b),672.0,2.7,338629.6
고령군,경상북도,202608,5박,외국인(c),5.0,3.74,2402.1
고령군,경상북도,202608,5박,외지인(b),365.0,2.7,328734.16
고령군,경상북도,202608,6박,외국인(c),4.0,3.74,2421.7
고령군,경상북도,202608,6박,외지인(b),245.0,2.7,305347.22
고령군,경상북도,202608,7박이상,외국인(c),22.0,3.74,27329.68
고령군,경상북도,202608,7박이상,외지인(b),1134.0,2.7,2555216.07
고령군,경상북도,202608,무박,외국인(c),448.0,0.0,3590.26
고령군,경상북도,202608,무박,외지인(b),426425.0,0.0,1230648.79
고성군,강원특별자치도,202608,1박,외국인(c),247.0,3.21,5613.08
고성군,강원특별자치도,202608,1박,외지인(b),196778.0,2.58,4574587.17
고성군,강원특별자치도,202608,2박,외국인(c),159.0,3.21,7234.82
고성군,강원특별자치도,202608,2박,외지인(b),127923.0,2.58,4901342.99
고성군,강원특별자치도,202608,3박,외국인(c),53.0,3.21,6357.16
고성군,강원특별자치도,202608,3박,외지인(b),20566.0,2.58,2607741.4
고성군,강원특별자치도,202608,4박,외국인(c),57.0,3.21,14410.12
고성군,강원특별자치도,202608,4박,외지인(b),4220.0,2.58,1256047.41
고성군,강원특별자치도,202608,5박,외국인(c),25.0,3.21,10936.56
고성군,강원특별자치도,202608,5박,외지인(b),1595.0,2.58,891100.72
고성군,강원특별자치도,202608,6박,외국인(c),2.0,3.21,1472.1
고성군,강원특별자치도,202608,6박,외지인(b),933.0,2.58,853568.28
고성군,강원특별자치도,202608,7박이상,외국인(c),23.0,3.21,23234.02
고성군,강원특별자치도,202608,7박이상,외지인(b),2152.0,2.58,4039315.68
고성군,강원특별자치도,202608,무박,외국인(c),1983.0,0.0,9785.05
